route_id,day,travel_hours,service_hours,total_duration_hours,has_buffer,has_late_hotel,has_heat_avoidance,has_recovery,spot_names,active_hours_proxy,pressure_level,selected_role,spots_count
Q1V3_Q30_279,1,2.7409999999999997,4.25,7.991,0,0,0,0,达坂城古镇、交河故城,6.991,green,30景点均衡覆盖候选版,30
Q1V3_Q30_279,2,0.857,6.0,7.857,0,0,0,0,坎儿井民俗园、苏公塔、葡萄沟,6.857,green,30景点均衡覆盖候选版,30
Q1V3_Q30_279,3,0.9019999999999999,5.0,6.901999999999999,0,0,0,0,火焰山、高昌故城,5.902,green,30景点均衡覆盖候选版,30
Q1V3_Q30_279,4,4.127,4.0,8.126999999999999,0,0,0,0,吐峪沟麻扎村、北庭故城遗址,8.126999999999999,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,5,1.334,3.5,5.834,0,0,0,0,江布拉克草原,4.834,green,30景点均衡覆盖候选版,30
Q1V3_Q30_279,6,1.957,5.0,7.957,0,0,0,0,天山天池,6.957,green,30景点均衡覆盖候选版,30
Q1V3_Q30_279,7,6.21,0.0,6.21,0,0,0,0,,6.21,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,8,0.0,6.0,7.0,0,0,0,1,赛里木湖,6.0,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,9,1.752,4.0,6.752000000000001,0,0,0,0,霍城薰衣草花田、果子沟大桥,5.752,green,30景点均衡覆盖候选版,30
Q1V3_Q30_279,10,5.036,6.0,11.036,0,0,0,0,喀拉峻大草原,11.036,red,30景点均衡覆盖候选版,30
Q1V3_Q30_279,11,3.426,5.0,9.426,0,0,0,0,夏塔古道,8.426,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,12,3.726,3.5,8.0,0,0,0,0,昭苏草原,7.226,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,13,7.238,0.0,7.238,0,0,0,0,,7.238,red,30景点均衡覆盖候选版,30
Q1V3_Q30_279,14,0.0,6.0,7.0,0,0,0,1,那拉提草原,6.0,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,15,7.945,0.0,7.945,0,0,0,0,,7.945,red,30景点均衡覆盖候选版,30
Q1V3_Q30_279,16,0.0,3.5,7.5,0,0,1,1,博斯腾湖,3.5,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,17,2.921,2.5,9.421,0,0,1,0,罗布人村寨,5.420999999999999,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,18,6.35,0.0,6.35,0,0,0,0,,6.35,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,19,1.301,5.0,6.301,0,0,0,1,天山神秘大峡谷、库车王府,6.301,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,20,1.271,2.5,4.771,0,0,0,0,克孜尔石窟,3.771,green,30景点均衡覆盖候选版,30
Q1V3_Q30_279,21,7.542,0.0,7.542,0,0,0,0,,7.542,red,30景点均衡覆盖候选版,30
Q1V3_Q30_279,22,0.151,5.0,7.651,0,0,0,1,艾提尕尔清真寺、喀什古城,5.151,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,23,2.155,3.5,9.655,0,0,1,0,奥依塔克冰川,5.654999999999999,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,24,2.358,2.5,8.858,0,0,1,0,帕米尔高原白沙湖,4.8580000000000005,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,25,1.602,2.5,5.102,0,0,0,0,石头城遗址,4.102,green,30景点均衡覆盖候选版,30
Q1V3_Q30_279,26,5.106,2.5,7.606,0,0,0,0,香妃园,7.606,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,27,5.571,2.5,8.071,0,0,0,0,和田博物馆,8.071,yellow,30景点均衡覆盖候选版,30
Q1V3_Q30_279,28,7.05,0.0,7.05,0,0,0,0,,7.05,red,30景点均衡覆盖候选版,30
Q1V3_Q30_279,29,0.0,0.0,0.0,1,0,0,0,,0.0,buffer,30景点均衡覆盖候选版,30
Q1V3_Q30_279,30,0.0,0.0,0.0,1,0,0,0,,0.0,buffer,30景点均衡覆盖候选版,30
