day,resource_type,group_id,resource_count,spot_names
1,fieldwork_equipment,1,1,楼兰古城
1,fieldwork_equipment,2,1,吐峪沟麻扎村
1,fieldwork_equipment,3,1,北庭故城遗址
1,licensed_guide,1,1,楼兰古城
1,offroad_vehicle,1,1,楼兰古城
1,safety_staff,1,1,楼兰古城
2,fieldwork_equipment,1,1,楼兰古城
2,fieldwork_equipment,2,1,吐峪沟麻扎村、苏公塔
2,fieldwork_equipment,3,1,高昌故城
2,licensed_guide,1,1,楼兰古城
2,offroad_vehicle,1,1,楼兰古城
2,safety_staff,1,1,楼兰古城
3,fieldwork_equipment,1,1,楼兰古城
3,fieldwork_equipment,2,1,苏公塔、交河故城
3,fieldwork_equipment,3,1,高昌故城
3,licensed_guide,1,1,楼兰古城
3,offroad_vehicle,1,1,楼兰古城
3,safety_staff,1,1,楼兰古城
4,fieldwork_equipment,1,1,楼兰古城
4,fieldwork_equipment,2,1,交河故城
4,licensed_guide,1,1,楼兰古城
4,offroad_vehicle,1,1,楼兰古城
4,safety_staff,1,1,楼兰古城
5,fieldwork_equipment,1,1,楼兰古城
5,fieldwork_equipment,2,1,罗布人村寨
5,fieldwork_equipment,3,1,克孜尔石窟
5,licensed_guide,1,1,楼兰古城
5,offroad_vehicle,1,1,楼兰古城
5,safety_staff,1,1,楼兰古城
6,border_permit_support,3,1,石头城遗址
6,fieldwork_equipment,2,1,罗布人村寨
6,fieldwork_equipment,3,1,克孜尔石窟
6,licensed_guide,1,1,楼兰古城、尼雅遗址
6,offroad_vehicle,1,1,楼兰古城、尼雅遗址
6,safety_staff,1,1,楼兰古城、尼雅遗址
6,safety_staff,3,1,石头城遗址
7,border_permit_support,3,1,石头城遗址
7,fieldwork_equipment,1,1,尼雅遗址
7,fieldwork_equipment,2,1,库车王府
7,fieldwork_equipment,3,1,石头城遗址
7,licensed_guide,1,1,尼雅遗址
7,offroad_vehicle,1,1,尼雅遗址
7,safety_staff,1,1,尼雅遗址
7,safety_staff,3,1,石头城遗址
8,border_permit_support,3,1,石头城遗址
8,fieldwork_equipment,1,1,尼雅遗址
8,fieldwork_equipment,2,1,艾提尕尔清真寺
8,fieldwork_equipment,3,1,石头城遗址
8,licensed_guide,1,1,尼雅遗址
8,offroad_vehicle,1,1,尼雅遗址
8,safety_staff,1,1,尼雅遗址
8,safety_staff,3,1,石头城遗址
9,border_permit_support,3,1,石头城遗址
9,fieldwork_equipment,1,1,尼雅遗址
9,fieldwork_equipment,2,1,艾提尕尔清真寺、喀什古城
9,fieldwork_equipment,3,1,石头城遗址
9,licensed_guide,1,1,尼雅遗址
9,offroad_vehicle,1,1,尼雅遗址
9,safety_staff,1,1,尼雅遗址
9,safety_staff,3,1,石头城遗址
10,fieldwork_equipment,1,1,尼雅遗址
10,fieldwork_equipment,2,1,喀什古城
10,fieldwork_equipment,3,1,香妃园
10,licensed_guide,1,1,尼雅遗址
10,offroad_vehicle,1,1,尼雅遗址
10,safety_staff,1,1,尼雅遗址
11,fieldwork_equipment,1,1,尼雅遗址
11,fieldwork_equipment,2,1,喀什古城
11,fieldwork_equipment,3,1,香妃园
11,licensed_guide,1,1,尼雅遗址
11,offroad_vehicle,1,1,尼雅遗址
11,safety_staff,1,1,尼雅遗址
12,licensed_guide,1,1,尼雅遗址
12,offroad_vehicle,1,1,尼雅遗址
12,safety_staff,1,1,尼雅遗址
13,standby_team,2,1,
13,standby_team,3,1,
14,standby_team,1,1,
14,standby_team,2,1,
14,standby_team,3,1,
15,standby_team,1,1,
15,standby_team,2,1,
15,standby_team,3,1,
16,standby_team,1,1,
16,standby_team,2,1,
16,standby_team,3,1,
17,standby_team,1,1,
17,standby_team,2,1,
17,standby_team,3,1,
18,standby_team,1,1,
