route_id,route_theme,product_type,route_capacity_persons_12day,comfort_score,low_pressure_score,allocation_metric,visitors,allocation_label
Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,family_comfort,6850,98.0,30.45,strict_capacity_ratio_visitors,4548,题面容量比例分配
Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,premium_reserve,3210,65.269,42.631,strict_capacity_ratio_visitors,2131,题面容量比例分配
Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,decongested_route,10240,98.0,29.314,strict_capacity_ratio_visitors,6799,题面容量比例分配
Q4V2_R039,喀什—和田—东疆错峰分流12日线,decongested_route,6390,75.507,32.586,strict_capacity_ratio_visitors,4243,题面容量比例分配
Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,decongested_route,11710,89.957,33.626,strict_capacity_ratio_visitors,7775,题面容量比例分配
Q4V2_R005,巴州—东疆—乌鲁木齐文化深游12日线,culture_deep,5190,81.65,34.933,strict_capacity_ratio_visitors,3446,题面容量比例分配
Q4V2_R046,东疆—赛湖—喀什错峰分流12日线,decongested_route,13660,73.314,44.372,strict_capacity_ratio_visitors,9070,题面容量比例分配
Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,decongested_route,6830,79.074,44.326,strict_capacity_ratio_visitors,4535,题面容量比例分配
Q4V2_R024,帕米尔—喀什—巴州长者慢游12日线,senior_slow,2000,98.0,25.632,strict_capacity_ratio_visitors,1328,题面容量比例分配
Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,capacity_balanced,16320,97.575,23.417,strict_capacity_ratio_visitors,10836,题面容量比例分配
Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,nature_flagship,11830,91.148,29.877,strict_capacity_ratio_visitors,7855,题面容量比例分配
Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,capacity_balanced,12240,97.43,23.156,strict_capacity_ratio_visitors,8127,题面容量比例分配
Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,capacity_balanced,11550,79.456,33.639,strict_capacity_ratio_visitors,7669,题面容量比例分配
Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,family_comfort,5710,98.0,35.832,strict_capacity_ratio_visitors,3791,题面容量比例分配
Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,capacity_balanced,13990,69.342,28.1,strict_capacity_ratio_visitors,9289,题面容量比例分配
Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,senior_slow,9180,98.0,25.388,strict_capacity_ratio_visitors,6095,题面容量比例分配
Q4V2_R041,东疆—赛湖—喀什自然风景12日线,nature_flagship,5400,56.382,41.234,strict_capacity_ratio_visitors,3585,题面容量比例分配
Q4V2_R006,东疆—北疆—赛湖自然风景12日线,nature_flagship,7890,69.797,35.171,strict_capacity_ratio_visitors,5239,题面容量比例分配
Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,family_comfort,6850,98.0,30.45,preference_elastic_visitors,4659,现实偏好弹性分配
Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,premium_reserve,3210,65.269,42.631,preference_elastic_visitors,3195,现实偏好弹性分配
Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,decongested_route,10240,98.0,29.314,preference_elastic_visitors,9384,现实偏好弹性分配
Q4V2_R039,喀什—和田—东疆错峰分流12日线,decongested_route,6390,75.507,32.586,preference_elastic_visitors,4450,现实偏好弹性分配
Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,decongested_route,11710,89.957,33.626,preference_elastic_visitors,6563,现实偏好弹性分配
Q4V2_R005,巴州—东疆—乌鲁木齐文化深游12日线,culture_deep,5190,81.65,34.933,preference_elastic_visitors,3865,现实偏好弹性分配
Q4V2_R046,东疆—赛湖—喀什错峰分流12日线,decongested_route,13660,73.314,44.372,preference_elastic_visitors,10580,现实偏好弹性分配
Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,decongested_route,6830,79.074,44.326,preference_elastic_visitors,6830,现实偏好弹性分配
Q4V2_R024,帕米尔—喀什—巴州长者慢游12日线,senior_slow,2000,98.0,25.632,preference_elastic_visitors,1546,现实偏好弹性分配
Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,capacity_balanced,16320,97.575,23.417,preference_elastic_visitors,9889,现实偏好弹性分配
Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,nature_flagship,11830,91.148,29.877,preference_elastic_visitors,7677,现实偏好弹性分配
Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,capacity_balanced,12240,97.43,23.156,preference_elastic_visitors,8161,现实偏好弹性分配
Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,capacity_balanced,11550,79.456,33.639,preference_elastic_visitors,5395,现实偏好弹性分配
Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,family_comfort,5710,98.0,35.832,preference_elastic_visitors,5710,现实偏好弹性分配
Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,capacity_balanced,13990,69.342,28.1,preference_elastic_visitors,4442,现实偏好弹性分配
Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,senior_slow,9180,98.0,25.388,preference_elastic_visitors,7848,现实偏好弹性分配
Q4V2_R041,东疆—赛湖—喀什自然风景12日线,nature_flagship,5400,56.382,41.234,preference_elastic_visitors,3378,现实偏好弹性分配
Q4V2_R006,东疆—北疆—赛湖自然风景12日线,nature_flagship,7890,69.797,35.171,preference_elastic_visitors,2784,现实偏好弹性分配
Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,family_comfort,6850,98.0,30.45,balanced_optimized_visitors,6708,运营平衡优化分配
Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,premium_reserve,3210,65.269,42.631,balanced_optimized_visitors,3210,运营平衡优化分配
Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,decongested_route,10240,98.0,29.314,balanced_optimized_visitors,7477,运营平衡优化分配
Q4V2_R039,喀什—和田—东疆错峰分流12日线,decongested_route,6390,75.507,32.586,balanced_optimized_visitors,5362,运营平衡优化分配
Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,decongested_route,11710,89.957,33.626,balanced_optimized_visitors,6933,运营平衡优化分配
Q4V2_R005,巴州—东疆—乌鲁木齐文化深游12日线,culture_deep,5190,81.65,34.933,balanced_optimized_visitors,5190,运营平衡优化分配
Q4V2_R046,东疆—赛湖—喀什错峰分流12日线,decongested_route,13660,73.314,44.372,balanced_optimized_visitors,8287,运营平衡优化分配
Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,decongested_route,6830,79.074,44.326,balanced_optimized_visitors,6830,运营平衡优化分配
Q4V2_R024,帕米尔—喀什—巴州长者慢游12日线,senior_slow,2000,98.0,25.632,balanced_optimized_visitors,2000,运营平衡优化分配
Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,capacity_balanced,16320,97.575,23.417,balanced_optimized_visitors,7169,运营平衡优化分配
Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,nature_flagship,11830,91.148,29.877,balanced_optimized_visitors,7029,运营平衡优化分配
Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,capacity_balanced,12240,97.43,23.156,balanced_optimized_visitors,6501,运营平衡优化分配
