scenario_id,scenario_name,demand_multiplier,policy_id,policy_name,portfolio_type,demand_visitors,served_visitors,rejected_or_overflow_visitors,offered_capacity,served_ratio,system_utilization,max_spot_timeslot_utilization,overloaded_spot_timeslots,spot_overload_persons,max_hotel_utilization,hotel_overloaded_rooms,max_vehicle_guide_utilization,vehicle_guide_shortage_units,congestion_wait_index,expected_loss_index,cvar90_loss_index,policy_pass,soft_policy_pass,strict_policy_pass,resource_evaluable,main_risk,strict_policy_label,scenario_order,policy_order
base_1_00,基准五一客流,1.0,legacy_9_full_release,旧9线路全量放票基线,legacy,106358,106358,0,111956,1.0,0.95,,,,,,,,0.153,539.9678,637.1621,True,True,False,False,旧9线路只做总容量，无法识别分时/酒店/车辆瓶颈,严格未通过,1,1
base_1_00,基准五一客流,1.0,q4v2_full_release,Q4-V2全量放票,q4v2,106358,106358,0,160190,1.0,0.6639,1.564,1.0,1421.3385,0.6168,0.0,0.4274,0.0,0.94,2662.6945,3195.2334,False,False,False,True,景区分时段过载,严格未通过,1,2
base_1_00,基准五一客流,1.0,q4v2_safety_cap_95,Q4-V2 95%安全上限,q4v2,106358,106358,0,152180,1.0,0.6989,1.5882,1.0,1408.1207,0.648,0.0,0.4311,0.0,0.9703,2735.4116,3282.4939,False,False,False,True,景区分时段过载,严格未通过,1,3
base_1_00,基准五一客流,1.0,q4v2_comfort_cap_90,Q4-V2 90%舒适上限,q4v2,106358,106358,0,144171,1.0,0.7377,1.6205,1.0,1407.1891,0.6814,0.0,0.4365,0.0,1.0106,2836.1441,3403.3729,False,False,False,True,景区分时段过载,严格未通过,1,4
base_1_00,基准五一客流,1.0,q4v2_staggered_prebooking,分时预约+偏好弹性分流,q4v2,106358,106358,0,152180,1.0,0.6989,1.0829,1.0,198.355,0.6291,0.0,0.4185,0.0,0.3386,890.2006,1068.2407,True,True,False,True,景区分时段过载,严格未通过,1,5
base_1_00,基准五一客流,1.0,q4v2_add_capacity_plus_stagger,补运力+分时预约复合策略,q4v2,106358,106358,0,179573,1.0,0.5923,0.9155,0.0,0.0,0.5367,0.0,0.3447,0.0,0.1194,298.4375,358.125,True,True,True,True,容量可控,严格通过,1,6
light_peak_1_05,轻度上浮5%,1.05,legacy_9_full_release,旧9线路全量放票基线,legacy,111676,111676,0,111956,1.0,0.9975,,,,,,,,0.2337,1464.7145,1728.3632,True,True,False,False,旧9线路只做总容量，无法识别分时/酒店/车辆瓶颈,严格未通过,2,1
light_peak_1_05,轻度上浮5%,1.05,q4v2_full_release,Q4-V2全量放票,q4v2,111676,111676,0,160190,1.0,0.6971,1.6555,1.0,1651.9791,0.6596,0.0,0.4617,0.0,1.0544,3149.3415,3791.8072,False,False,False,True,景区分时段过载,严格未通过,2,2
light_peak_1_05,轻度上浮5%,1.05,q4v2_safety_cap_95,Q4-V2 95%安全上限,q4v2,111676,111676,0,152180,1.0,0.7338,1.6862,1.0,1642.6775,0.692,0.0,0.467,0.0,1.0927,3247.9273,3910.5044,False,False,False,True,景区分时段过载,严格未通过,2,3
light_peak_1_05,轻度上浮5%,1.05,q4v2_comfort_cap_90,Q4-V2 90%舒适上限,q4v2,111676,111676,0,144171,1.0,0.7746,1.721,1.0,1635.1669,0.7255,0.0,0.4723,0.0,1.1363,3360.3798,4045.8973,False,False,False,True,景区分时段过载,严格未通过,2,4
light_peak_1_05,轻度上浮5%,1.05,q4v2_staggered_prebooking,分时预约+偏好弹性分流,q4v2,111676,111676,0,152180,1.0,0.7338,1.1497,1.0,358.2801,0.6719,0.0,0.4534,0.0,0.4221,1190.8408,1433.7724,False,False,False,True,景区分时段过载,严格未通过,2,5
light_peak_1_05,轻度上浮5%,1.05,q4v2_add_capacity_plus_stagger,补运力+分时预约复合策略,q4v2,111676,111676,0,179573,1.0,0.6219,0.9682,0.0,0.0,0.5729,0.0,0.372,0.0,0.1852,486.2812,585.4826,True,True,True,True,容量可控,严格通过,2,6
peak_1_10,高峰上浮10%,1.1,legacy_9_full_release,旧9线路全量放票基线,legacy,116994,111956,5038,111956,0.9569,1.0,,,,,,,,0.238,6650.6,7847.708,True,True,False,False,旧9线路只做总容量，无法识别分时/酒店/车辆瓶颈,严格未通过,3,1
peak_1_10,高峰上浮10%,1.1,q4v2_full_release,Q4-V2全量放票,q4v2,116994,116994,0,156986,1.0,0.7452,1.798,1.0,1970.7371,0.702,0.0,0.5016,0.0,1.2325,3936.5896,4755.4003,False,False,False,True,景区分时段过载,严格未通过,3,2
peak_1_10,高峰上浮10%,1.1,q4v2_safety_cap_95,Q4-V2 95%安全上限,q4v2,116994,116994,0,149137,1.0,0.7845,1.8302,1.0,1947.797,0.7336,0.0,0.5058,0.0,1.2728,4043.6372,4884.7137,False,False,False,True,景区分时段过载,严格未通过,3,3
peak_1_10,高峰上浮10%,1.1,q4v2_comfort_cap_90,Q4-V2 90%舒适上限,q4v2,116994,116994,0,141288,1.0,0.8281,1.8709,1.0,1935.7848,0.7664,0.0,0.5113,0.0,1.3236,4183.1274,5053.2179,False,False,False,True,景区分时段过载,严格未通过,3,4
peak_1_10,高峰上浮10%,1.1,q4v2_staggered_prebooking,分时预约+偏好弹性分流,q4v2,116994,116994,0,149137,1.0,0.7845,1.2479,1.0,581.5507,0.7123,0.0,0.4911,0.0,0.5449,1668.9441,2016.0845,False,False,False,True,景区分时段过载,严格未通过,3,5
peak_1_10,高峰上浮10%,1.1,q4v2_add_capacity_plus_stagger,补运力+分时预约复合策略,q4v2,116994,116994,0,175982,1.0,0.6648,1.0447,1.0,104.7872,0.6097,0.0,0.4015,0.0,0.2909,840.2696,1015.0456,True,True,False,True,景区分时段过载,严格未通过,3,6
high_peak_1_20,强高峰上浮20%,1.2,legacy_9_full_release,旧9线路全量放票基线,legacy,127630,111956,15674,111956,0.8772,1.0,,,,,,,,0.238,17473.6,20618.848,False,False,False,False,旧9线路只做总容量，无法识别分时/酒店/车辆瓶颈,严格未通过,4,1
high_peak_1_20,强高峰上浮20%,1.2,q4v2_full_release,Q4-V2全量放票,q4v2,127630,127630,0,152180,1.0,0.8387,2.0877,1.0,2604.0478,0.7824,0.0,0.5773,0.0,1.5946,5699.3163,6930.3686,False,False,False,True,景区分时段过载,严格未通过,4,2
high_peak_1_20,强高峰上浮20%,1.2,q4v2_safety_cap_95,Q4-V2 95%安全上限,q4v2,127630,127630,0,144571,1.0,0.8828,2.1505,1.0,2616.625,0.8127,0.0,0.5836,0.0,1.6731,5948.0875,7232.8744,False,False,False,True,景区分时段过载,严格未通过,4,3
high_peak_1_20,强高峰上浮20%,1.2,q4v2_comfort_cap_90,Q4-V2 90%舒适上限,q4v2,127630,127630,0,136962,1.0,0.9319,2.2289,1.0,2647.6861,0.8305,0.0,0.5807,0.0,1.7711,6262.8793,7615.6612,False,False,False,True,景区分时段过载,严格未通过,4,4
high_peak_1_20,强高峰上浮20%,1.2,q4v2_staggered_prebooking,分时预约+偏好弹性分流,q4v2,127630,127630,0,144571,1.0,0.8828,1.4663,1.0,1060.4216,0.7891,0.0,0.5666,0.0,0.8179,2847.4753,3462.53,False,False,False,True,景区分时段过载,严格未通过,4,5
high_peak_1_20,强高峰上浮20%,1.2,q4v2_add_capacity_plus_stagger,补运力+分时预约复合策略,q4v2,127630,127630,0,170594,1.0,0.7481,1.2051,2.0,500.5422,0.6893,0.0,0.4635,0.0,0.5014,1704.446,2072.6063,False,False,False,True,景区分时段过载,严格未通过,4,6
compound_extreme_1_35,复合极端上浮35%,1.35,legacy_9_full_release,旧9线路全量放票基线,legacy,143583,111956,31627,111956,0.7797,1.0,,,,,,,,0.238,33787.3,39869.014,False,False,False,False,旧9线路只做总容量，无法识别分时/酒店/车辆瓶颈,严格未通过,5,1
compound_extreme_1_35,复合极端上浮35%,1.35,q4v2_full_release,Q4-V2全量放票,q4v2,143583,143583,0,144171,1.0,0.9959,2.6644,3.0,3950.823,0.8225,0.0,0.6316,0.0,2.3355,10061.8966,12356.009,False,False,False,True,景区分时段过载,严格未通过,5,2
compound_extreme_1_35,复合极端上浮35%,1.35,q4v2_safety_cap_95,Q4-V2 95%安全上限,q4v2,143583,136962,6621,136962,0.9539,1.0,2.5675,2.0,3414.186,0.8225,0.0,0.6,0.0,2.2044,19324.3626,23730.3173,False,False,False,True,总容量不足；景区分时段过载,严格未通过,5,3
