file_name,rows,columns,path
overview_model_evolution.csv,4,6,可视化交付包\01_visual_data\overview_model_evolution.csv
q1_visual_daily_pressure.csv,185,14,可视化交付包\01_visual_data\q1_visual_daily_pressure.csv
q1_visual_route_tiers.csv,6,17,可视化交付包\01_visual_data\q1_visual_route_tiers.csv
q1_visual_success_comparison.csv,12,7,可视化交付包\01_visual_data\q1_visual_success_comparison.csv
q2_visual_gateway_threshold.csv,1,7,可视化交付包\01_visual_data\q2_visual_gateway_threshold.csv
q2_visual_mode_mix.csv,31,8,可视化交付包\01_visual_data\q2_visual_mode_mix.csv
q2_visual_plan_compare.csv,4,19,可视化交付包\01_visual_data\q2_visual_plan_compare.csv
q2_visual_year_balance.csv,8,7,可视化交付包\01_visual_data\q2_visual_year_balance.csv
q3_visual_buffer_policy.csv,5,11,可视化交付包\01_visual_data\q3_visual_buffer_policy.csv
q3_visual_buffer_policy_long.csv,10,8,可视化交付包\01_visual_data\q3_visual_buffer_policy_long.csv
q3_visual_exact_check_card.csv,1,15,可视化交付包\01_visual_data\q3_visual_exact_check_card.csv
q3_visual_group_summary.csv,3,17,可视化交付包\01_visual_data\q3_visual_group_summary.csv
q3_visual_resource_calendar.csv,90,5,可视化交付包\01_visual_data\q3_visual_resource_calendar.csv
q4_visual_allocation_comparison_long.csv,54,9,可视化交付包\01_visual_data\q4_visual_allocation_comparison_long.csv
q4_visual_capacity_compare.csv,4,3,可视化交付包\01_visual_data\q4_visual_capacity_compare.csv
q4_visual_quality_audit.csv,18,15,可视化交付包\01_visual_data\q4_visual_quality_audit.csv
q4_visual_shadow_top10.csv,10,11,可视化交付包\01_visual_data\q4_visual_shadow_top10.csv
q4_visual_strategy_matrix.csv,30,30,可视化交付包\01_visual_data\q4_visual_strategy_matrix.csv
q4_visual_timeslot_pressure.csv,291,14,可视化交付包\01_visual_data\q4_visual_timeslot_pressure.csv
