generation,best_objective,mean_objective,best_spots,best_days,best_over_budget_days,best_time_window_violations,best_limited_lodging_nights
1,246162.587,230557.562,30,30,5,0,0
2,248691.597,229233.7,30,28,2,0,0
3,247888.0,230771.045,30,30,4,0,0
4,242410.541,227527.637,29,30,3,0,1
5,245551.749,232348.946,30,30,4,0,1
6,246448.55,231531.111,31,30,7,0,0
7,251662.922,233879.638,32,30,6,0,1
8,253317.43,231200.225,32,30,4,0,1
9,251476.904,237707.351,31,30,3,0,1
10,251244.911,235131.823,31,30,4,0,0
11,252005.856,234344.338,32,30,6,0,1
12,254477.425,238224.671,31,30,2,0,0
13,252004.592,235406.049,32,30,5,0,0
14,255239.07,235604.144,32,30,4,0,0
15,254532.933,238335.152,32,30,4,0,1
16,257332.637,239439.634,32,30,4,0,0
17,255233.393,237590.515,32,30,4,0,0
18,252306.475,239873.235,32,30,6,0,1
19,252999.152,237307.186,32,30,5,0,1
20,253552.258,238634.32,32,30,5,0,0
21,257523.04,243454.838,32,30,3,0,0
22,256591.127,235766.279,32,30,4,0,0
23,256602.624,241073.557,32,30,4,0,0
24,256602.624,242449.46,32,30,4,0,0
