generation,ant,objective,spots_count,optimized_spots_count,scheduled_days,hotel_nights,scheduled_active_hours,scheduled_travel_hours,scheduled_service_hours,transport_cost_yuan_per_two,ticket_cost_yuan_per_two,hotel_cost_yuan_room,itinerary_proxy_cost_yuan_excluding_meals,over_budget_days,time_window_violations,limited_lodging_nights,long_transfer_steps,route_sequence
1,1,226486.357,27,27,30,29,196.536,103.406,87.75,8562.58,3106.0,5650.0,17318.58,6,0,1,9,火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 达坂城古镇 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 库车王府 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 罗布人村寨 -> 博斯腾湖 -> 那拉提草原 -> 巴音布鲁克草原 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 北庭故城遗址 -> 石头城遗址 -> 帕米尔高原白沙湖
1,2,232776.388,28,28,30,29,189.577,94.209,91.25,3721.12,3616.0,6140.0,13477.12,5,0,1,7,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 达坂城古镇 -> 交河故城 -> 苏公塔 -> 火焰山 -> 坎儿井民俗园 -> 库车王府 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 罗布人村寨 -> 那拉提草原 -> 喀拉峻大草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 五彩滩 -> 喀纳斯湖 -> 白哈巴村
1,3,219053.506,27,27,30,29,194.221,103.961,84.25,8947.24,3152.0,6200.0,18299.24,4,0,2,9,罗布人村寨 -> 高昌故城 -> 吐峪沟麻扎村 -> 火焰山 -> 坎儿井民俗园 -> 交河故城 -> 苏公塔 -> 葡萄沟 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 天山神秘大峡谷 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 喀纳斯湖 -> 五彩滩 -> 江布拉克草原 -> 北庭故城遗址 -> 达坂城古镇 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川
1,4,217505.811,26,26,26,25,173.567,90.241,79.25,5887.57,2964.0,4790.0,13641.57,4,0,1,7,交河故城 -> 吐峪沟麻扎村 -> 高昌故城 -> 坎儿井民俗园 -> 可可托海 -> 葡萄沟 -> 火焰山 -> 达坂城古镇 -> 苏公塔 -> 喀什古城 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 库车王府 -> 罗布人村寨 -> 博斯腾湖 -> 天山神秘大峡谷 -> 喀拉峻大草原 -> 夏塔古道 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池
1,5,215231.141,24,24,26,25,156.273,82.523,70.25,5310.74,2506.0,4720.0,12536.74,2,0,1,6,天山天池 -> 北庭故城遗址 -> 火焰山 -> 达坂城古镇 -> 交河故城 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 罗布人村寨 -> 库车王府 -> 那拉提草原 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 天山神秘大峡谷 -> 博斯腾湖 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 香妃园
1,6,241886.033,29,29,30,29,192.57,97.769,89.25,3677.05,3172.0,5570.0,12419.05,1,0,1,8,天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 葡萄沟 -> 高昌故城 -> 坎儿井民俗园 -> 交河故城 -> 达坂城古镇 -> 苏公塔 -> 火焰山 -> 博斯腾湖 -> 罗布人村寨 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 千里葡萄长廊 -> 和田博物馆 -> 香妃园 -> 巴音布鲁克草原 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 夏塔古道 -> 霍城薰衣草花田 -> 赛里木湖 -> 果子沟大桥
1,7,226092.639,27,27,25,24,166.719,80.625,81.25,5171.09,2612.0,4680.0,12463.09,4,0,1,4,葡萄沟 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 苏公塔 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 和田博物馆 -> 千里葡萄长廊 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 克孜尔石窟 -> 库车王府 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田
1,8,246162.587,30,30,30,29,204.175,105.157,93.25,5977.58,3042.0,5480.0,14499.58,5,0,0,8,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 天山天池 -> 和田博物馆 -> 千里葡萄长廊 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 克孜尔石窟 -> 库车王府 -> 罗布人村寨 -> 江布拉克草原 -> 北庭故城遗址 -> 博斯腾湖 -> 喀拉峻大草原 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原
1,9,230623.93,29,29,30,29,208.063,110.499,91.75,10641.4,3072.0,5550.0,19263.4,7,0,0,9,和田博物馆 -> 千里葡萄长廊 -> 葡萄沟 -> 吐峪沟麻扎村 -> 高昌故城 -> 交河故城 -> 苏公塔 -> 达坂城古镇 -> 坎儿井民俗园 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 昭苏草原 -> 喀拉峻大草原 -> 罗布人村寨 -> 江布拉克草原 -> 北庭故城遗址 -> 艾提尕尔清真寺 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 香妃园 -> 喀什古城 -> 克孜尔石窟 -> 库车王府 -> 天山神秘大峡谷 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山天池
1,10,228160.169,29,29,27,26,182.475,85.344,91.75,5611.29,3352.0,5590.0,14553.29,4,0,0,6,天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 巴音布鲁克草原 -> 那拉提草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 五彩滩 -> 喀纳斯湖
