iteration,operator,move,temperature,accepted,candidate_objective,current_objective,best_objective,candidate_spots,best_spots,candidate_days,candidate_over_budget_days,candidate_time_window_violations,candidate_limited_lodging_nights
1,random_removal,reorder,6399.4475,False,250122.899,257523.04,257523.04,32,32,29,7,0,1
2,lodging_pressure_removal,reorder,6361.0509,False,250122.899,257523.04,257523.04,32,32,29,7,0,1
3,region_removal,swap,6322.8846,False,10450.814,257523.04,257523.04,32,32,32,4,0,1
4,region_removal,swap,6284.9472,False,-235979.817,257523.04,257523.04,32,32,34,6,0,0
5,region_removal,reorder,6247.2376,True,250122.899,250122.899,257523.04,32,32,29,7,0,1
6,random_removal,reorder,6209.7541,True,247684.867,247684.867,257523.04,31,32,28,5,0,2
7,random_removal,two_opt,6172.4956,False,5174.241,247684.867,257523.04,32,32,32,6,0,2
8,long_arc_removal,two_opt,6135.4606,False,-147186.587,247684.867,257523.04,31,32,33,5,0,3
9,region_removal,reorder,6098.6479,False,241136.444,247684.867,257523.04,30,32,30,7,0,2
10,lodging_pressure_removal,two_opt,6062.056,True,251197.051,251197.051,257523.04,32,32,30,5,0,1
11,long_arc_removal,reorder,6025.6837,False,242584.674,251197.051,257523.04,30,32,27,6,0,2
12,long_arc_removal,none,5989.5295,False,248889.666,251197.051,257523.04,31,32,30,5,0,1
13,region_removal,none,5953.5924,False,246446.998,251197.051,257523.04,31,32,30,4,0,1
14,random_removal,reorder,5917.8708,False,217314.011,251197.051,257523.04,27,32,27,5,0,2
15,random_removal,reorder,5882.3636,False,237207.793,251197.051,257523.04,30,32,29,5,0,2
16,region_removal,two_opt,5847.0694,False,-125992.206,251197.051,257523.04,32,32,33,6,0,1
17,long_arc_removal,none,5811.987,True,251197.051,251197.051,257523.04,32,32,30,5,0,1
18,long_arc_removal,none,5777.1151,False,223369.708,251197.051,257523.04,27,32,26,4,0,1
19,worst_removal,none,5742.4524,True,250412.55,250412.55,257523.04,31,32,30,4,0,1
20,random_removal,two_opt,5707.9977,True,249851.875,249851.875,257523.04,31,32,30,4,0,1
21,worst_removal,none,5673.7497,False,246398.969,249851.875,257523.04,30,32,30,4,0,1
22,long_arc_removal,two_opt,5639.7072,False,-120505.103,249851.875,257523.04,30,32,33,5,0,1
23,long_arc_removal,none,5605.8689,False,239187.538,249851.875,257523.04,29,32,30,3,0,1
24,lodging_pressure_removal,swap,5572.2337,False,1108.779,249851.875,257523.04,31,32,32,6,0,1
25,worst_removal,swap,5538.8003,False,-129436.402,249851.875,257523.04,31,32,33,8,0,1
26,random_removal,swap,5505.5675,False,120642.878,249851.875,257523.04,30,32,31,5,0,1
27,region_removal,reorder,5472.5341,False,241915.468,249851.875,257523.04,31,32,29,7,0,2
28,long_arc_removal,two_opt,5439.6989,False,-12012.432,249851.875,257523.04,29,32,32,6,0,1
29,worst_removal,swap,5407.0607,False,-2077.726,249851.875,257523.04,31,32,32,7,0,1
30,long_arc_removal,swap,5374.6184,False,-377167.151,249851.875,257523.04,30,32,35,7,0,1
31,lodging_pressure_removal,reorder,5342.3706,False,243365.514,249851.875,257523.04,31,32,30,6,0,2
32,region_removal,two_opt,5310.3164,False,-124257.185,249851.875,257523.04,31,32,33,7,0,1
33,worst_removal,swap,5278.4545,False,-489555.514,249851.875,257523.04,29,32,36,5,0,1
34,worst_removal,two_opt,5246.7838,False,-125510.458,249851.875,257523.04,29,32,33,6,0,1
35,random_removal,two_opt,5215.3031,False,128236.392,249851.875,257523.04,31,32,31,3,0,1
36,worst_removal,two_opt,5184.0113,False,412.485,249851.875,257523.04,31,32,32,7,0,1
37,long_arc_removal,none,5152.9072,False,245425.574,249851.875,257523.04,30,32,30,5,0,1
38,worst_removal,two_opt,5121.9898,True,249238.157,249238.157,257523.04,31,32,30,4,0,1
39,random_removal,reorder,5091.2578,True,236960.574,236960.574,257523.04,29,32,30,4,0,2
40,region_removal,two_opt,5060.7103,False,-122685.687,236960.574,257523.04,30,32,33,5,0,2
41,region_removal,swap,5030.346,False,-258421.882,236960.574,257523.04,30,32,34,10,0,2
42,lodging_pressure_removal,swap,5000.1639,False,-127346.826,236960.574,257523.04,30,32,33,7,0,1
43,random_removal,two_opt,4970.163,False,120157.536,236960.574,257523.04,30,32,31,5,0,2
44,random_removal,swap,4940.342,False,230169.808,236960.574,257523.04,28,32,29,4,0,2
45,long_arc_removal,swap,4910.6999,False,-257702.788,236960.574,257523.04,28,32,34,7,0,2
46,lodging_pressure_removal,reorder,4881.2357,True,242544.662,242544.662,257523.04,30,32,30,5,0,2
47,region_removal,none,4851.9483,False,233998.303,242544.662,257523.04,28,32,30,5,0,2
48,worst_removal,swap,4822.8366,False,-136796.809,242544.662,257523.04,29,32,33,6,0,2
49,region_removal,reorder,4793.8996,True,242547.731,242547.731,257523.04,30,32,30,5,0,2
50,random_removal,two_opt,4765.1362,False,-5029.666,242547.731,257523.04,29,32,32,4,0,2
51,random_removal,two_opt,4736.5454,True,243916.038,243916.038,257523.04,30,32,30,4,0,2
52,worst_removal,none,4708.1261,False,243651.424,243916.038,257523.04,30,32,30,4,0,2
53,region_removal,two_opt,4679.8774,False,110074.711,243916.038,257523.04,29,32,31,7,0,1
54,worst_removal,none,4651.7981,True,243916.038,243916.038,257523.04,30,32,30,4,0,2
55,worst_removal,two_opt,4623.8873,False,-25316.432,243916.038,257523.04,30,32,32,5,0,3
56,long_arc_removal,none,4596.144,True,241679.451,241679.451,257523.04,29,32,30,3,0,2
57,worst_removal,swap,4568.5671,False,-126398.874,241679.451,257523.04,30,32,33,5,0,2
58,lodging_pressure_removal,reorder,4541.1557,True,240686.577,240686.577,257523.04,30,32,30,6,0,2
59,long_arc_removal,two_opt,4513.9088,True,241169.355,241169.355,257523.04,31,32,30,7,0,2
60,lodging_pressure_removal,swap,4486.8253,False,119791.394,241169.355,257523.04,31,32,31,7,0,1
61,worst_removal,reorder,4459.9044,True,241003.733,241003.733,257523.04,30,32,30,5,0,2
62,random_removal,none,4433.145,True,243840.528,243840.528,257523.04,31,32,30,5,0,2
63,random_removal,none,4406.5461,False,241028.88,243840.528,257523.04,30,32,30,4,0,2
64,worst_removal,none,4380.1068,True,243188.406,243188.406,257523.04,31,32,30,6,0,2
65,random_removal,two_opt,4353.8262,False,-7234.094,243188.406,257523.04,30,32,32,4,0,2
66,random_removal,none,4327.7032,True,245872.978,245872.978,257523.04,32,32,30,5,0,2
67,long_arc_removal,two_opt,4301.737,False,95303.165,245872.978,257523.04,30,32,31,3,0,3
68,lodging_pressure_removal,two_opt,4275.9266,False,221180.101,245872.978,257523.04,32,32,30,6,0,3
69,random_removal,two_opt,4250.271,False,-121824.435,245872.978,257523.04,32,32,33,7,0,2
70,region_removal,reorder,4224.7694,True,246184.598,246184.598,257523.04,31,32,29,4,0,2
