route_id,trial,scenario,spots_count,scheduled_days,active_hours,over_budget_days,time_window_violations,limited_lodging_nights,hotel_full_nights,reservation_failures,transport_delay_events,severe_transport_events,crowd_penalty,total_proxy_cost_yuan,route_feasible
HYBRID_30D_ACO_ALNS_SA,1,summer_peak,32,32,229.569,7,1,1,1,1,3,0,0.0,15723.79,False
HYBRID_30D_ACO_ALNS_SA,2,adverse_weather,32,38,276.272,8,0,1,1,2,12,0,0.0,17016.35,False
HYBRID_30D_ACO_ALNS_SA,3,normal_weekday,32,31,203.66,3,0,0,0,0,1,0,0.0,14688.53,True
HYBRID_30D_ACO_ALNS_SA,4,summer_peak,32,31,229.704,7,0,0,3,0,1,0,0.0,15759.97,False
HYBRID_30D_ACO_ALNS_SA,5,adverse_weather,32,35,264.83,11,0,1,0,0,3,0,0.0,16352.94,False
HYBRID_30D_ACO_ALNS_SA,6,normal_weekday,32,29,200.62,4,0,0,0,0,2,0,0.0,14278.53,True
HYBRID_30D_ACO_ALNS_SA,7,normal_weekday,32,31,212.658,5,0,0,1,1,1,0,0.0,14852.98,False
HYBRID_30D_ACO_ALNS_SA,8,adverse_weather,32,36,257.045,9,0,1,5,0,6,0,0.0,17149.78,False
HYBRID_30D_ACO_ALNS_SA,9,holiday_peak,32,32,258.092,11,0,1,5,2,3,0,0.672,17530.41,False
HYBRID_30D_ACO_ALNS_SA,10,road_closure,32,40,305.963,13,0,2,1,1,9,1,0.0,17264.47,False
HYBRID_30D_ACO_ALNS_SA,11,holiday_peak,32,33,265.127,12,0,0,7,8,2,0,0.672,17959.87,False
HYBRID_30D_ACO_ALNS_SA,12,summer_peak,32,33,215.132,4,0,0,1,0,2,0,0.0,15910.7,True
HYBRID_30D_ACO_ALNS_SA,13,normal_weekday,32,29,201.23,4,0,0,0,0,2,0,0.0,14388.53,True
HYBRID_30D_ACO_ALNS_SA,14,summer_peak,32,30,222.55,8,0,0,0,1,1,0,0.0,15168.59,False
HYBRID_30D_ACO_ALNS_SA,15,summer_peak,32,33,223.499,6,0,0,1,3,2,0,0.0,15898.92,False
HYBRID_30D_ACO_ALNS_SA,16,summer_peak,32,32,227.586,5,0,0,5,1,3,0,0.0,16346.32,False
HYBRID_30D_ACO_ALNS_SA,17,normal_weekday,32,30,208.0,6,0,0,0,0,3,0,0.0,14548.53,False
HYBRID_30D_ACO_ALNS_SA,18,summer_peak,32,31,206.32,4,0,0,0,2,0,0,0.0,15358.59,False
HYBRID_30D_ACO_ALNS_SA,19,normal_weekday,32,30,213.888,6,0,0,3,1,1,0,0.0,14919.49,False
HYBRID_30D_ACO_ALNS_SA,20,normal_weekday,32,30,203.82,4,1,0,0,0,1,0,0.0,14548.53,False
HYBRID_30D_ACO_ALNS_SA,21,normal_weekday,32,31,205.395,4,1,0,1,0,3,0,0.0,14883.03,False
HYBRID_30D_ACO_ALNS_SA,22,normal_weekday,32,30,199.78,2,0,0,0,2,0,0,0.0,14548.53,False
HYBRID_30D_ACO_ALNS_SA,23,summer_peak,32,30,217.503,4,0,0,1,1,2,0,0.0,15355.86,False
HYBRID_30D_ACO_ALNS_SA,24,adverse_weather,32,38,264.891,10,1,2,1,0,5,0,0.0,17102.44,False
HYBRID_30D_ACO_ALNS_SA,25,adverse_weather,32,36,268.001,11,0,1,1,1,6,0,0.0,16750.8,False
HYBRID_30D_ACO_ALNS_SA,26,normal_weekday,32,30,203.607,4,0,0,2,0,1,0,0.0,15000.21,False
HYBRID_30D_ACO_ALNS_SA,27,normal_weekday,32,29,203.15,5,0,0,0,2,3,0,0.0,14288.53,False
HYBRID_30D_ACO_ALNS_SA,28,normal_weekday,32,31,212.14,5,0,0,0,1,1,0,0.0,14728.53,False
HYBRID_30D_ACO_ALNS_SA,29,normal_weekday,32,32,206.453,3,0,0,1,1,0,0,0.0,15164.87,False
HYBRID_30D_ACO_ALNS_SA,30,summer_peak,32,32,221.412,6,0,0,5,0,1,0,0.0,16525.26,False
HYBRID_30D_ACO_ALNS_SA,31,summer_peak,32,32,220.05,6,1,0,3,1,3,0,0.0,15906.43,False
HYBRID_30D_ACO_ALNS_SA,32,summer_peak,32,31,220.966,5,0,0,1,0,1,0,0.0,15363.0,False
HYBRID_30D_ACO_ALNS_SA,33,holiday_peak,32,31,236.818,9,0,0,5,3,1,0,0.672,17255.2,False
HYBRID_30D_ACO_ALNS_SA,34,normal_weekday,32,31,206.18,5,0,0,0,0,3,0,0.0,14638.53,False
HYBRID_30D_ACO_ALNS_SA,35,normal_weekday,32,29,198.312,5,0,0,1,0,3,0,0.0,14463.43,False
HYBRID_30D_ACO_ALNS_SA,36,normal_weekday,32,31,210.74,5,0,0,0,1,3,0,0.0,14728.53,False
HYBRID_30D_ACO_ALNS_SA,37,holiday_peak,32,34,253.42,9,0,1,9,3,1,0,0.672,18561.43,False
HYBRID_30D_ACO_ALNS_SA,38,normal_weekday,32,30,201.617,4,0,0,2,2,3,0,0.0,14991.43,False
HYBRID_30D_ACO_ALNS_SA,39,normal_weekday,32,32,213.44,4,0,0,0,0,1,0,0.0,14918.53,True
HYBRID_30D_ACO_ALNS_SA,40,normal_weekday,32,31,210.342,3,0,0,1,0,3,0,0.0,14928.97,True
HYBRID_30D_ACO_ALNS_SA,41,normal_weekday,32,32,205.73,2,1,0,0,2,5,0,0.0,14918.53,False
HYBRID_30D_ACO_ALNS_SA,42,normal_weekday,32,32,207.79,2,1,0,0,1,4,0,0.0,14938.53,False
HYBRID_30D_ACO_ALNS_SA,43,holiday_peak,32,35,236.22,5,0,0,5,3,2,0,0.672,18040.45,False
HYBRID_30D_ACO_ALNS_SA,44,normal_weekday,32,31,202.15,6,0,0,0,0,2,0,0.0,14688.53,False
HYBRID_30D_ACO_ALNS_SA,45,normal_weekday,32,31,202.414,0,0,0,1,1,1,0,0.0,14893.98,False
HYBRID_30D_ACO_ALNS_SA,46,normal_weekday,32,30,205.548,3,0,0,1,2,3,0,0.0,14757.68,False
HYBRID_30D_ACO_ALNS_SA,47,adverse_weather,32,36,278.619,12,0,1,2,1,4,0,0.0,16910.51,False
HYBRID_30D_ACO_ALNS_SA,48,normal_weekday,32,29,194.27,3,1,0,0,0,1,0,0.0,14288.53,False
HYBRID_30D_ACO_ALNS_SA,49,holiday_peak,32,33,251.839,10,1,0,6,3,5,0,0.672,17569.84,False
HYBRID_30D_ACO_ALNS_SA,50,normal_weekday,32,29,198.85,4,0,0,0,1,2,0,0.0,14388.53,False
HYBRID_30D_ACO_ALNS_SA,51,normal_weekday,32,32,209.87,5,0,0,0,1,3,0,0.0,14878.53,False
HYBRID_30D_ACO_ALNS_SA,52,summer_peak,32,33,237.173,7,0,0,4,4,2,0,0.0,16535.66,False
HYBRID_30D_ACO_ALNS_SA,53,normal_weekday,32,31,205.593,4,0,0,2,1,1,0,0.0,15128.27,False
HYBRID_30D_ACO_ALNS_SA,54,normal_weekday,32,30,200.51,2,0,0,0,0,4,0,0.0,14508.53,True
HYBRID_30D_ACO_ALNS_SA,55,summer_peak,32,31,221.736,8,0,0,2,1,2,0,0.0,15804.29,False
HYBRID_30D_ACO_ALNS_SA,56,normal_weekday,32,29,202.895,6,1,0,1,0,1,0,0.0,14391.51,False
HYBRID_30D_ACO_ALNS_SA,57,normal_weekday,32,31,202.519,1,1,0,1,0,2,0,0.0,14944.67,False
HYBRID_30D_ACO_ALNS_SA,58,normal_weekday,32,29,209.06,6,0,0,0,0,0,0,0.0,14288.53,False
HYBRID_30D_ACO_ALNS_SA,59,summer_peak,32,31,222.132,7,1,0,4,1,2,0,0.0,16114.12,False
HYBRID_30D_ACO_ALNS_SA,60,normal_weekday,32,31,201.18,3,0,0,0,0,0,0,0.0,14728.53,True
HYBRID_30D_ACO_ALNS_SA,61,normal_weekday,32,32,209.073,4,0,2,2,1,3,0,0.0,15210.62,False
HYBRID_30D_ACO_ALNS_SA,62,normal_weekday,32,30,211.641,3,0,0,2,3,2,0,0.0,14964.45,False
HYBRID_30D_ACO_ALNS_SA,63,normal_weekday,32,32,200.219,4,1,0,1,2,1,0,0.0,15132.16,False
HYBRID_30D_ACO_ALNS_SA,64,summer_peak,32,33,230.472,6,0,1,4,5,2,0,0.0,16519.83,False
HYBRID_30D_ACO_ALNS_SA,65,normal_weekday,32,29,198.599,3,1,0,1,0,1,0,0.0,14540.05,False
HYBRID_30D_ACO_ALNS_SA,66,normal_weekday,32,31,198.88,2,0,0,0,2,3,0,0.0,14758.53,False
HYBRID_30D_ACO_ALNS_SA,67,normal_weekday,32,31,202.185,1,0,0,1,1,1,0,0.0,14848.85,False
HYBRID_30D_ACO_ALNS_SA,68,normal_weekday,32,31,207.937,5,0,0,1,1,3,0,0.0,14949.77,False
HYBRID_30D_ACO_ALNS_SA,69,normal_weekday,32,30,196.707,2,1,0,1,0,2,0,0.0,14552.85,False
HYBRID_30D_ACO_ALNS_SA,70,normal_weekday,32,31,205.995,2,2,0,1,0,1,0,0.0,14927.06,False
HYBRID_30D_ACO_ALNS_SA,71,normal_weekday,32,31,205.38,3,0,0,0,1,1,0,0.0,14738.53,False
HYBRID_30D_ACO_ALNS_SA,72,normal_weekday,32,31,202.97,5,0,0,0,0,2,0,0.0,14698.53,False
HYBRID_30D_ACO_ALNS_SA,73,summer_peak,32,30,220.072,7,0,0,2,0,1,0,0.0,15453.89,False
HYBRID_30D_ACO_ALNS_SA,74,road_closure,32,38,302.625,14,0,1,1,1,9,2,0.0,16933.85,False
HYBRID_30D_ACO_ALNS_SA,75,adverse_weather,32,34,250.637,11,0,1,2,1,3,0,0.0,16416.24,False
HYBRID_30D_ACO_ALNS_SA,76,normal_weekday,32,31,207.975,5,1,0,1,0,1,0,0.0,14982.04,False
HYBRID_30D_ACO_ALNS_SA,77,summer_peak,32,32,212.959,3,0,0,1,2,1,0,0.0,15611.3,False
HYBRID_30D_ACO_ALNS_SA,78,summer_peak,32,32,228.554,5,0,0,1,3,2,0,0.0,15797.19,False
HYBRID_30D_ACO_ALNS_SA,79,normal_weekday,32,30,196.05,3,0,0,0,0,1,0,0.0,14548.53,True
HYBRID_30D_ACO_ALNS_SA,80,adverse_weather,32,37,257.527,10,0,2,2,3,5,0,0.0,17304.09,False
HYBRID_30D_ACO_ALNS_SA,81,road_closure,32,41,315.652,14,0,1,4,0,12,2,0.0,17835.59,False
HYBRID_30D_ACO_ALNS_SA,82,normal_weekday,32,30,204.52,6,0,0,0,0,3,0,0.0,14548.53,False
HYBRID_30D_ACO_ALNS_SA,83,holiday_peak,32,35,254.365,8,0,1,9,7,3,0,0.672,18845.15,False
HYBRID_30D_ACO_ALNS_SA,84,normal_weekday,32,30,195.16,3,1,0,0,0,0,0,0.0,14438.53,False
HYBRID_30D_ACO_ALNS_SA,85,normal_weekday,32,30,208.17,5,0,0,0,0,3,0,0.0,14498.53,False
HYBRID_30D_ACO_ALNS_SA,86,summer_peak,32,31,224.235,6,0,0,3,2,1,0,0.0,15747.24,False
HYBRID_30D_ACO_ALNS_SA,87,adverse_weather,32,35,256.082,11,0,1,1,0,3,0,0.0,16535.51,False
HYBRID_30D_ACO_ALNS_SA,88,holiday_peak,32,35,248.283,6,0,0,11,4,0,0,0.672,19116.77,False
HYBRID_30D_ACO_ALNS_SA,89,road_closure,32,41,312.337,14,0,2,3,1,11,3,0.0,17859.45,False
HYBRID_30D_ACO_ALNS_SA,90,normal_weekday,32,31,197.68,1,0,0,0,0,0,0,0.0,14738.53,True
HYBRID_30D_ACO_ALNS_SA,91,normal_weekday,32,31,209.571,3,0,0,1,0,1,0,0.0,14832.04,True
HYBRID_30D_ACO_ALNS_SA,92,normal_weekday,32,29,205.42,5,2,0,0,1,3,0,0.0,14318.53,False
HYBRID_30D_ACO_ALNS_SA,93,normal_weekday,32,31,200.57,3,0,0,0,1,2,0,0.0,14728.53,False
HYBRID_30D_ACO_ALNS_SA,94,adverse_weather,32,37,266.278,12,0,1,1,1,5,0,0.0,16779.8,False
HYBRID_30D_ACO_ALNS_SA,95,normal_weekday,32,30,196.645,4,1,0,1,0,1,0,0.0,14667.05,False
HYBRID_30D_ACO_ALNS_SA,96,adverse_weather,32,36,258.276,11,0,1,3,0,2,0,0.0,16981.62,False
HYBRID_30D_ACO_ALNS_SA,97,summer_peak,32,32,211.431,3,0,0,3,1,1,0,0.0,16159.52,False
HYBRID_30D_ACO_ALNS_SA,98,normal_weekday,32,29,195.05,4,0,0,0,1,0,0,0.0,14318.53,False
HYBRID_30D_ACO_ALNS_SA,99,normal_weekday,32,32,203.35,3,0,0,0,1,3,0,0.0,14878.53,False
HYBRID_30D_ACO_ALNS_SA,100,normal_weekday,32,29,203.31,4,0,0,0,2,1,0,0.0,14248.53,False
HYBRID_30D_ACO_ALNS_SA,101,normal_weekday,32,28,192.28,5,0,0,0,1,2,0,0.0,14058.53,False
HYBRID_30D_ACO_ALNS_SA,102,normal_weekday,32,28,196.15,6,2,0,0,1,1,0,0.0,14128.53,False
HYBRID_30D_ACO_ALNS_SA,103,holiday_peak,32,36,254.621,10,1,1,4,3,3,0,0.672,17985.88,False
HYBRID_30D_ACO_ALNS_SA,104,normal_weekday,32,30,195.67,3,0,0,0,0,1,0,0.0,14468.53,True
HYBRID_30D_ACO_ALNS_SA,105,normal_weekday,32,29,201.1,5,0,0,1,3,2,0,0.0,14415.12,False
HYBRID_30D_ACO_ALNS_SA,106,holiday_peak,32,32,239.594,12,0,1,4,3,0,0,0.672,17270.21,False
HYBRID_30D_ACO_ALNS_SA,107,normal_weekday,32,32,221.48,6,0,0,0,1,5,0,0.0,14898.53,False
HYBRID_30D_ACO_ALNS_SA,108,normal_weekday,32,29,210.416,6,0,0,3,0,2,0,0.0,14711.1,False
HYBRID_30D_ACO_ALNS_SA,109,normal_weekday,32,30,206.71,4,0,0,0,0,1,0,0.0,14538.53,True
HYBRID_30D_ACO_ALNS_SA,110,normal_weekday,32,29,199.53,2,0,0,0,0,2,0,0.0,14368.53,True
HYBRID_30D_ACO_ALNS_SA,111,adverse_weather,32,35,253.762,11,0,1,3,1,6,0,0.0,16674.0,False
HYBRID_30D_ACO_ALNS_SA,112,normal_weekday,32,29,194.19,6,1,0,0,1,1,0,0.0,14238.53,False
HYBRID_30D_ACO_ALNS_SA,113,holiday_peak,32,33,255.165,10,0,2,7,5,1,0,0.672,18040.14,False
HYBRID_30D_ACO_ALNS_SA,114,normal_weekday,32,30,198.05,3,0,0,0,0,3,0,0.0,14508.53,True
HYBRID_30D_ACO_ALNS_SA,115,normal_weekday,32,31,208.29,3,0,0,0,1,2,0,0.0,14728.53,False
