route_id,active_or_transfer_days,planned_trip_days,buffer_days,red_days,yellow_days,green_days,long_transfer_days,late_hotel_days,max_day_active_hours,mean_day_active_hours,mean_comfort_score,p10_comfort_score,time_window_violations,late_after_hard_end_violations,schedule_soft_feasible,schedule_strict_feasible,schedule_feasible,scheduler_note
Q1V3_Q20_032,23,30,7,4,6,20,7,2,12.278,6.24,85.922,69.38,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_031,23,30,7,3,7,20,6,0,11.55,6.279,86.558,69.13,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_008,21,30,9,2,6,22,3,2,15.196,6.2,86.865,74.26,2,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_044,20,30,10,2,6,22,6,1,12.014,6.472,86.478,76.087,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_043,21,30,9,2,8,20,5,0,11.804,6.17,87.356,69.332,1,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_007,19,30,11,2,7,21,4,2,22.59,7.518,83.794,64.256,1,2,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_011,21,30,9,1,7,22,5,0,9.143,6.02,88.758,71.57,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_012,21,30,9,1,6,23,6,0,8.05,5.868,89.842,77.84,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_038,21,30,9,3,4,23,6,1,12.286,6.242,87.53,73.92,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_037,22,30,8,2,7,21,6,0,10.5,6.054,88.371,70.407,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_004,22,30,8,3,5,22,6,1,12.286,6.216,87.027,73.255,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_002,19,30,11,3,6,21,6,0,10.5,7.117,84.515,69.9,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_001,19,30,11,3,5,22,6,0,11.036,7.175,83.926,69.304,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_003,22,30,8,2,8,20,6,1,12.286,6.439,86.56,70.6,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_020,21,30,9,3,4,23,6,1,12.286,6.288,87.286,72.71,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_019,22,30,8,3,6,21,6,0,10.5,6.096,88.711,73.884,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_052,21,30,9,4,5,21,6,2,12.286,6.775,83.385,65.954,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_051,23,30,7,4,3,23,6,0,11.55,6.164,86.222,68.816,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_098,22,30,8,4,8,18,5,1,11.752,6.652,84.866,68.054,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_097,21,30,9,1,11,18,4,0,11.752,7.207,83.812,74.476,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_086,22,30,8,4,4,22,4,2,12.072,6.696,85.701,64.542,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_066,25,30,5,2,5,23,6,0,11.752,5.873,89.222,78.606,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_065,25,30,5,2,7,21,6,0,11.752,6.034,88.519,78.254,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_085,24,30,6,4,6,20,5,1,19.624,6.685,85.249,66.293,0,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_062,23,30,7,3,5,22,6,1,12.286,6.306,87.463,74.336,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_070,23,30,7,1,7,22,6,0,11.752,6.014,88.833,78.324,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
