route_id,simulation_samples,success_probability,overrun_probability,expected_days,p90_days,p95_days,expected_cost_yuan,p95_cost_yuan,expected_loss,cvar75_loss,cvar90_loss,expected_red_days,prob_red_days_gt1,mean_simulated_comfort,p10_simulated_comfort,chance_constraint_pass,simulation_note
Q1V3_Q20_032,500,0.762,0.0,23.034,23.0,23.0,9979.63,11988.21,1363.862,2193.499,2552.922,4.758,1.0,81.628,75.32,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_031,500,0.804,0.0,23.04,23.0,23.0,12161.21,14640.09,1212.44,2171.474,2540.019,3.756,1.0,82.599,77.52,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_008,500,0.852,0.0,21.014,21.0,21.0,9088.95,10872.29,871.577,1652.502,1951.301,2.72,1.0,83.415,79.814,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_044,500,0.852,0.0,20.05,20.0,20.05,9060.67,10941.5,879.243,1632.696,1938.867,2.742,1.0,82.885,78.97,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_043,500,0.86,0.0,21.022,21.0,21.0,11289.47,13603.18,932.516,1763.627,2068.539,2.704,1.0,84.109,80.68,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_007,500,0.844,0.0,19.016,19.0,19.0,9564.77,11517.48,860.68,1623.599,1947.531,2.74,1.0,80.277,76.323,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_011,500,0.86,0.0,21.028,21.0,21.0,11053.27,13331.94,737.572,1603.971,1940.872,1.676,0.562,85.546,82.019,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_012,500,0.85,0.0,21.016,21.0,21.0,9037.93,10839.18,693.642,1479.156,1784.162,1.666,0.558,86.561,83.053,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_038,500,0.864,0.0,21.02,21.0,21.0,9360.49,11239.69,1053.393,1847.626,2186.321,3.714,1.0,84.031,80.085,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q20_037,500,0.806,0.0,22.034,22.0,22.0,11551.59,13983.02,973.937,1873.082,2218.762,2.706,1.0,84.97,81.08,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
