direction,depot_name,depot_address,depot_lng,depot_lat,spot_id,spot_name,spot_lng,spot_lat,driving_distance_km,driving_duration_hours,driving_duration_minutes,source_id,selfdrive_cost_yuan_per_two
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P001,天山天池,88.067381,44.102919,67.303,0.967,58.0,AMAP_DISTANCE_API,37.02
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P002,达坂城古镇,88.338318,43.326289,100.782,1.333,80.0,AMAP_DISTANCE_API,55.43
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P003,火焰山,89.513296,42.918783,222.445,2.726,163.6,AMAP_DISTANCE_API,122.34
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P004,葡萄沟,89.24417,43.000687,200.435,2.399,143.9,AMAP_DISTANCE_API,110.24
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P005,坎儿井民俗园,89.148541,42.95264,196.776,2.417,145.1,AMAP_DISTANCE_API,108.23
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P006,交河故城,89.065435,42.953881,202.395,2.524,151.4,AMAP_DISTANCE_API,111.32
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P007,楼兰古城,75.993543,39.463205,1319.672,14.058,843.5,AMAP_DISTANCE_API,725.82
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P008,赛里木湖,81.386542,44.617077,546.34,5.832,349.9,AMAP_DISTANCE_API,300.49
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P009,那拉提草原,84.020007,43.266978,459.386,7.568,454.1,AMAP_DISTANCE_API,252.66
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P010,喀拉峻大草原,82.088099,43.065713,708.471,10.879,652.8,AMAP_DISTANCE_API,389.66
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P011,高昌故城,89.528941,42.852645,230.986,3.015,180.9,AMAP_DISTANCE_API,127.04
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P012,苏公塔,89.206429,42.935833,202.343,2.491,149.5,AMAP_DISTANCE_API,111.29
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P013,吐峪沟麻扎村,89.69288,42.856627,253.127,2.861,171.6,AMAP_DISTANCE_API,139.22
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P014,霍城薰衣草花田,80.917837,44.294346,608.026,6.849,410.9,AMAP_DISTANCE_API,334.41
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P015,昭苏草原,81.422775,42.842975,746.969,12.849,770.9,AMAP_DISTANCE_API,410.83
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P016,夏塔古道,80.668138,42.597704,815.968,12.224,733.5,AMAP_DISTANCE_API,448.78
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P017,果子沟大桥,81.140191,44.475984,594.736,6.404,384.2,AMAP_DISTANCE_API,327.1
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P018,喀纳斯湖,87.055797,48.82663,678.588,8.886,533.1,AMAP_DISTANCE_API,373.22
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P019,禾木村,87.452753,48.576964,673.987,8.507,510.4,AMAP_DISTANCE_API,370.69
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P020,白哈巴村,86.783604,48.699657,662.396,8.525,511.5,AMAP_DISTANCE_API,364.32
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P021,可可托海,89.884211,47.222081,523.888,5.963,357.8,AMAP_DISTANCE_API,288.14
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P022,五彩滩,86.680702,47.837537,543.061,6.182,370.9,AMAP_DISTANCE_API,298.68
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P023,世界魔鬼城,85.733205,46.135149,430.728,4.505,270.3,AMAP_DISTANCE_API,236.9
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P024,喀什古城,75.994657,39.475323,1317.987,14.042,842.5,AMAP_DISTANCE_API,724.89
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P025,艾提尕尔清真寺,75.987867,39.472577,1317.932,14.022,841.3,AMAP_DISTANCE_API,724.86
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P026,香妃园,76.026973,39.488614,1317.946,14.039,842.4,AMAP_DISTANCE_API,724.87
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P027,帕米尔高原白沙湖,75.049369,38.443069,1510.357,16.797,1007.8,AMAP_DISTANCE_API,830.7
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P028,石头城遗址,75.234894,37.78213,1610.051,18.267,1096.0,AMAP_DISTANCE_API,885.53
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P029,天山神秘大峡谷,83.065893,42.122058,589.218,9.325,559.5,AMAP_DISTANCE_API,324.07
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P030,库车王府,82.920907,41.718795,616.19,7.092,425.5,AMAP_DISTANCE_API,338.9
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P031,克孜尔石窟,82.506888,41.779043,670.586,8.116,486.9,AMAP_DISTANCE_API,368.82
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P032,博斯腾湖,87.132144,41.984799,343.586,4.843,290.6,AMAP_DISTANCE_API,188.97
depot_to_spot,乌鲁木齐市人民政府,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市人民政府,87.616824,43.825377,P033,巴音布鲁克草原,84.152246,43.038375,399.696,6.093,365.6,AMAP_DISTANCE_API,219.83
