from_spot_id,from_spot_name,from_lng,from_lat,to_spot_id,to_spot_name,to_lng,to_lat,amap_origin_id,amap_dest_batch_index,driving_distance_km,driving_duration_hours,driving_duration_minutes,source_id
P001,天山天池,88.067381,44.102919,P001,天山天池,88.067381,44.102919,1,1,0.001,0.0,0.0,AMAP_DISTANCE_API
P002,达坂城古镇,88.338318,43.326289,P001,天山天池,88.067381,44.102919,2,1,168.627,1.921,115.3,AMAP_DISTANCE_API
P003,火焰山,89.513296,42.918783,P001,天山天池,88.067381,44.102919,3,1,289.882,3.571,214.3,AMAP_DISTANCE_API
P004,葡萄沟,89.24417,43.000687,P001,天山天池,88.067381,44.102919,4,1,268.224,3.245,194.7,AMAP_DISTANCE_API
P005,坎儿井民俗园,89.148541,42.95264,P001,天山天池,88.067381,44.102919,5,1,264.65,3.268,196.1,AMAP_DISTANCE_API
P006,交河故城,89.065435,42.953881,P001,天山天池,88.067381,44.102919,6,1,272.477,3.483,209.0,AMAP_DISTANCE_API
P007,楼兰古城,75.993543,39.463205,P001,天山天池,88.067381,44.102919,7,1,1389.354,14.692,881.5,AMAP_DISTANCE_API
P008,赛里木湖,81.386542,44.617077,P001,天山天池,88.067381,44.102919,8,1,594.647,6.072,364.4,AMAP_DISTANCE_API
P009,那拉提草原,84.020007,43.266978,P001,天山天池,88.067381,44.102919,9,1,528.415,8.189,491.4,AMAP_DISTANCE_API
P010,喀拉峻大草原,82.088099,43.065713,P001,天山天池,88.067381,44.102919,10,1,892.557,10.365,621.9,AMAP_DISTANCE_API
P011,高昌故城,89.528941,42.852645,P001,天山天池,88.067381,44.102919,11,1,300.273,3.956,237.4,AMAP_DISTANCE_API
P012,苏公塔,89.206429,42.935833,P001,天山天池,88.067381,44.102919,12,1,270.125,3.334,200.0,AMAP_DISTANCE_API
P013,吐峪沟麻扎村,89.69288,42.856627,P001,天山天池,88.067381,44.102919,13,1,309.055,3.907,234.4,AMAP_DISTANCE_API
P014,霍城薰衣草花田,80.917837,44.294346,P001,天山天池,88.067381,44.102919,14,1,655.087,6.886,413.1,AMAP_DISTANCE_API
P015,昭苏草原,81.422775,42.842975,P001,天山天池,88.067381,44.102919,15,1,931.092,12.305,738.3,AMAP_DISTANCE_API
P016,夏塔古道,80.668138,42.597704,P001,天山天池,88.067381,44.102919,16,1,1000.066,11.629,697.7,AMAP_DISTANCE_API
P017,果子沟大桥,81.140191,44.475984,P001,天山天池,88.067381,44.102919,17,1,620.365,6.305,378.3,AMAP_DISTANCE_API
P018,喀纳斯湖,87.055797,48.82663,P001,天山天池,88.067381,44.102919,18,1,687.676,8.502,510.1,AMAP_DISTANCE_API
P019,禾木村,87.452753,48.576964,P001,天山天池,88.067381,44.102919,19,1,670.74,7.925,475.5,AMAP_DISTANCE_API
P020,白哈巴村,86.783604,48.699657,P001,天山天池,88.067381,44.102919,20,1,658.587,7.799,468.0,AMAP_DISTANCE_API
P021,可可托海,89.884211,47.222081,P001,天山天池,88.067381,44.102919,21,1,465.648,5.035,302.1,AMAP_DISTANCE_API
P022,五彩滩,86.680702,47.837537,P001,天山天池,88.067381,44.102919,22,1,539.13,5.676,340.6,AMAP_DISTANCE_API
P023,世界魔鬼城,85.733205,46.135149,P001,天山天池,88.067381,44.102919,23,1,472.955,4.905,294.3,AMAP_DISTANCE_API
P024,喀什古城,75.994657,39.475323,P001,天山天池,88.067381,44.102919,24,1,1388.094,14.643,878.5,AMAP_DISTANCE_API
P025,艾提尕尔清真寺,75.987867,39.472577,P001,天山天池,88.067381,44.102919,25,1,1387.474,14.626,877.6,AMAP_DISTANCE_API
P026,香妃园,76.026973,39.488614,P001,天山天池,88.067381,44.102919,26,1,1386.91,14.523,871.4,AMAP_DISTANCE_API
P027,帕米尔高原白沙湖,75.049369,38.443069,P001,天山天池,88.067381,44.102919,27,1,1571.676,17.407,1044.4,AMAP_DISTANCE_API
P028,石头城遗址,75.234894,37.78213,P001,天山天池,88.067381,44.102919,28,1,1671.623,18.734,1124.0,AMAP_DISTANCE_API
P029,天山神秘大峡谷,83.065893,42.122058,P001,天山天池,88.067381,44.102919,29,1,658.543,9.936,596.2,AMAP_DISTANCE_API
P030,库车王府,82.920907,41.718795,P001,天山天池,88.067381,44.102919,30,1,684.797,7.654,459.2,AMAP_DISTANCE_API
P031,克孜尔石窟,82.506888,41.779043,P001,天山天池,88.067381,44.102919,31,1,740.171,8.68,520.8,AMAP_DISTANCE_API
P032,博斯腾湖,87.132144,41.984799,P001,天山天池,88.067381,44.102919,32,1,412.176,5.548,332.9,AMAP_DISTANCE_API
P033,巴音布鲁克草原,84.152246,43.038375,P001,天山天池,88.067381,44.102919,33,1,468.854,6.659,399.6,AMAP_DISTANCE_API
P034,罗布人村寨,86.102565,41.051029,P001,天山天池,88.067381,44.102919,34,1,476.087,5.643,338.6,AMAP_DISTANCE_API
P035,江布拉克草原,89.725973,43.648226,P001,天山天池,88.067381,44.102919,35,1,171.989,1.957,117.4,AMAP_DISTANCE_API
P036,北庭故城遗址,89.206249,44.06673,P001,天山天池,88.067381,44.102919,36,1,111.363,1.304,78.2,AMAP_DISTANCE_API
P037,和田博物馆,79.927167,37.091873,P001,天山天池,88.067381,44.102919,37,1,1332.018,15.943,956.6,AMAP_DISTANCE_API
P038,尼雅遗址,82.721398,37.977215,P001,天山天池,88.067381,44.102919,38,1,1041.718,13.274,796.4,AMAP_DISTANCE_API
P039,千里葡萄长廊,79.833641,37.127514,P001,天山天池,88.067381,44.102919,39,1,1333.415,16.018,961.1,AMAP_DISTANCE_API
P040,奥依塔克冰川,75.340867,38.941664,P001,天山天池,88.067381,44.102919,40,1,1485.639,16.121,967.2,AMAP_DISTANCE_API
P001,天山天池,88.067381,44.102919,P002,达坂城古镇,88.338318,43.326289,1,2,170.367,2.131,127.8,AMAP_DISTANCE_API
P002,达坂城古镇,88.338318,43.326289,P002,达坂城古镇,88.338318,43.326289,2,2,0.001,0.0,0.0,AMAP_DISTANCE_API
P003,火焰山,89.513296,42.918783,P002,达坂城古镇,88.338318,43.326289,3,2,147.991,2.086,125.1,AMAP_DISTANCE_API
P004,葡萄沟,89.24417,43.000687,P002,达坂城古镇,88.338318,43.326289,4,2,126.333,1.772,106.3,AMAP_DISTANCE_API
P005,坎儿井民俗园,89.148541,42.95264,P002,达坂城古镇,88.338318,43.326289,5,2,122.759,1.794,107.6,AMAP_DISTANCE_API
P006,交河故城,89.065435,42.953881,P002,达坂城古镇,88.338318,43.326289,6,2,130.586,1.992,119.5,AMAP_DISTANCE_API
P007,楼兰古城,75.993543,39.463205,P002,达坂城古镇,88.338318,43.326289,7,2,1384.027,14.64,878.4,AMAP_DISTANCE_API
P008,赛里木湖,81.386542,44.617077,P002,达坂城古镇,88.338318,43.326289,8,2,645.746,6.763,405.8,AMAP_DISTANCE_API
P009,那拉提草原,84.020007,43.266978,P002,达坂城古镇,88.338318,43.326289,9,2,523.088,8.134,488.0,AMAP_DISTANCE_API
P010,喀拉峻大草原,82.088099,43.065713,P002,达坂城古镇,88.338318,43.326289,10,2,791.569,11.842,710.5,AMAP_DISTANCE_API
P011,高昌故城,89.528941,42.852645,P002,达坂城古镇,88.338318,43.326289,11,2,158.382,2.477,148.6,AMAP_DISTANCE_API
P012,苏公塔,89.206429,42.935833,P002,达坂城古镇,88.338318,43.326289,12,2,128.234,1.849,111.0,AMAP_DISTANCE_API
P013,吐峪沟麻扎村,89.69288,42.856627,P002,达坂城古镇,88.338318,43.326289,13,2,167.164,2.424,145.4,AMAP_DISTANCE_API
P014,霍城薰衣草花田,80.917837,44.294346,P002,达坂城古镇,88.338318,43.326289,14,2,706.186,7.582,454.9,AMAP_DISTANCE_API
P015,昭苏草原,81.422775,42.842975,P002,达坂城古镇,88.338318,43.326289,15,2,830.104,13.936,836.2,AMAP_DISTANCE_API
P016,夏塔古道,80.668138,42.597704,P002,达坂城古镇,88.338318,43.326289,16,2,899.078,13.266,795.9,AMAP_DISTANCE_API
P017,果子沟大桥,81.140191,44.475984,P002,达坂城古镇,88.338318,43.326289,17,2,671.464,6.996,419.8,AMAP_DISTANCE_API
P018,喀纳斯湖,87.055797,48.82663,P002,达坂城古镇,88.338318,43.326289,18,2,787.048,9.762,585.7,AMAP_DISTANCE_API
P019,禾木村,87.452753,48.576964,P002,达坂城古镇,88.338318,43.326289,19,2,770.112,9.203,552.2,AMAP_DISTANCE_API
P020,白哈巴村,86.783604,48.699657,P002,达坂城古镇,88.338318,43.326289,20,2,757.959,9.08,544.8,AMAP_DISTANCE_API
P021,可可托海,89.884211,47.222081,P002,达坂城古镇,88.338318,43.326289,21,2,626.484,6.848,410.9,AMAP_DISTANCE_API
P022,五彩滩,86.680702,47.837537,P002,达坂城古镇,88.338318,43.326289,22,2,638.502,7.058,423.5,AMAP_DISTANCE_API
P023,世界魔鬼城,85.733205,46.135149,P002,达坂城古镇,88.338318,43.326289,23,2,524.054,5.612,336.7,AMAP_DISTANCE_API
P024,喀什古城,75.994657,39.475323,P002,达坂城古镇,88.338318,43.326289,24,2,1382.767,14.593,875.6,AMAP_DISTANCE_API
P025,艾提尕尔清真寺,75.987867,39.472577,P002,达坂城古镇,88.338318,43.326289,25,2,1382.147,14.576,874.5,AMAP_DISTANCE_API
P026,香妃园,76.026973,39.488614,P002,达坂城古镇,88.338318,43.326289,26,2,1381.583,14.461,867.7,AMAP_DISTANCE_API
P027,帕米尔高原白沙湖,75.049369,38.443069,P002,达坂城古镇,88.338318,43.326289,27,2,1566.349,17.319,1039.2,AMAP_DISTANCE_API
P028,石头城遗址,75.234894,37.78213,P002,达坂城古镇,88.338318,43.326289,28,2,1666.296,18.653,1119.2,AMAP_DISTANCE_API
P029,天山神秘大峡谷,83.065893,42.122058,P002,达坂城古镇,88.338318,43.326289,29,2,653.216,9.886,593.2,AMAP_DISTANCE_API
P030,库车王府,82.920907,41.718795,P002,达坂城古镇,88.338318,43.326289,30,2,679.47,7.611,456.6,AMAP_DISTANCE_API
P031,克孜尔石窟,82.506888,41.779043,P002,达坂城古镇,88.338318,43.326289,31,2,734.844,8.636,518.1,AMAP_DISTANCE_API
P032,博斯腾湖,87.132144,41.984799,P002,达坂城古镇,88.338318,43.326289,32,2,378.003,5.598,335.9,AMAP_DISTANCE_API
P033,巴音布鲁克草原,84.152246,43.038375,P002,达坂城古镇,88.338318,43.326289,33,2,463.527,6.595,395.7,AMAP_DISTANCE_API
P034,罗布人村寨,86.102565,41.051029,P002,达坂城古镇,88.338318,43.326289,34,2,470.76,5.573,334.4,AMAP_DISTANCE_API
P035,江布拉克草原,89.725973,43.648226,P002,达坂城古镇,88.338318,43.326289,35,2,332.825,3.825,229.5,AMAP_DISTANCE_API
P036,北庭故城遗址,89.206249,44.06673,P002,达坂城古镇,88.338318,43.326289,36,2,272.199,3.142,188.5,AMAP_DISTANCE_API
P037,和田博物馆,79.927167,37.091873,P002,达坂城古镇,88.338318,43.326289,37,2,1326.691,15.89,953.4,AMAP_DISTANCE_API
P038,尼雅遗址,82.721398,37.977215,P002,达坂城古镇,88.338318,43.326289,38,2,1036.391,13.256,795.4,AMAP_DISTANCE_API
P039,千里葡萄长廊,79.833641,37.127514,P002,达坂城古镇,88.338318,43.326289,39,2,1328.088,15.967,958.0,AMAP_DISTANCE_API
P040,奥依塔克冰川,75.340867,38.941664,P002,达坂城古镇,88.338318,43.326289,40,2,1480.312,16.037,962.2,AMAP_DISTANCE_API
P001,天山天池,88.067381,44.102919,P003,火焰山,89.513296,42.918783,1,3,292.03,3.57,214.2,AMAP_DISTANCE_API
P002,达坂城古镇,88.338318,43.326289,P003,火焰山,89.513296,42.918783,2,3,125.018,1.617,97.0,AMAP_DISTANCE_API
P003,火焰山,89.513296,42.918783,P003,火焰山,89.513296,42.918783,3,3,0.001,0.0,0.0,AMAP_DISTANCE_API
P004,葡萄沟,89.24417,43.000687,P003,火焰山,89.513296,42.918783,4,3,30.533,0.571,34.2,AMAP_DISTANCE_API
