from_spot_id,from_spot_name,to_spot_id,to_spot_name,scenario_id,shortest_time_hours,shortest_cost_yuan_per_two,path_risk,path_modes,driving_distance_km,driving_duration_hours,driving_duration_minutes,amap_selfdrive_cost_yuan_per_two,od_quality_note,amap_duration_minus_multimodal_hours,amap_cost_minus_multimodal_yuan
P001,天山天池,P001,天山天池,base_summer,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,self_loop_forced_zero,0.0,0.0
P001,天山天池,P002,达坂城古镇,base_summer,4.15,107.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,170.367,2.131,127.8,93.7,amap_distance_api,-2.019,-13.55
P001,天山天池,P003,火焰山,base_summer,5.15,151.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,292.03,3.57,214.2,160.62,amap_distance_api,-1.58,9.37
P001,天山天池,P004,葡萄沟,base_summer,4.45,151.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,270.02,3.231,193.8,148.51,amap_distance_api,-1.219,-2.74
P001,天山天池,P005,坎儿井民俗园,base_summer,4.45,151.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,266.361,3.235,194.1,146.5,amap_distance_api,-1.215,-4.75
P001,天山天池,P006,交河故城,base_summer,4.45,151.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,271.98,3.342,200.5,149.59,amap_distance_api,-1.108,-1.66
P001,天山天池,P007,楼兰古城,base_summer,17.4,1130.75,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1389.189,14.842,890.5,764.05,amap_distance_api,-2.558,-366.7
P001,天山天池,P008,赛里木湖,base_summer,8.05,1654.75,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,587.736,6.21,372.6,323.25,amap_distance_api,-1.84,-1331.5
P001,天山天池,P009,那拉提草原,base_summer,12.4,1709.75,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,528.92,8.394,503.7,290.91,amap_distance_api,-4.006,-1418.84
P001,天山天池,P010,喀拉峻大草原,base_summer,9.9,1635.5,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,749.867,11.271,676.3,412.43,amap_distance_api,1.371,-1223.07
P001,天山天池,P011,高昌故城,base_summer,5.15,151.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,300.571,3.853,231.2,165.31,amap_distance_api,-1.297,14.06
P001,天山天池,P012,苏公塔,base_summer,4.45,151.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,271.928,3.343,200.6,149.56,amap_distance_api,-1.107,-1.69
P001,天山天池,P013,吐峪沟麻扎村,base_summer,5.15,151.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,322.712,3.766,225.9,177.49,amap_distance_api,-1.384,26.24
P001,天山天池,P014,霍城薰衣草花田,base_summer,7.9,1597.0,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,649.422,7.202,432.1,357.18,amap_distance_api,-0.698,-1239.82
P001,天山天池,P015,昭苏草原,base_summer,12.4,1671.25,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,788.365,13.152,789.1,433.6,amap_distance_api,0.752,-1237.65
P001,天山天池,P016,夏塔古道,base_summer,10.9,1751.25,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,857.364,12.622,757.3,471.55,amap_distance_api,1.722,-1279.7
P001,天山天池,P017,果子沟大桥,base_summer,8.05,1654.75,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,636.132,6.776,406.6,349.87,amap_distance_api,-1.274,-1304.88
P001,天山天池,P018,喀纳斯湖,base_summer,9.3,393.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,674.896,8.795,527.7,371.19,amap_distance_api,-0.505,-22.06
P001,天山天池,P019,禾木村,base_summer,9.3,393.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,670.295,8.413,504.8,368.66,amap_distance_api,-0.887,-24.59
P001,天山天池,P020,白哈巴村,base_summer,10.3,726.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,658.704,8.315,498.9,362.29,amap_distance_api,-1.985,-363.96
P001,天山天池,P021,可可托海,base_summer,8.3,415.75,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,465.136,5.226,313.6,255.82,amap_distance_api,-3.074,-159.93
P001,天山天池,P022,五彩滩,base_summer,9.3,393.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,539.369,6.083,365.0,296.65,amap_distance_api,-3.217,-96.6
P001,天山天池,P023,世界魔鬼城,base_summer,7.4,972.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,472.124,4.878,292.7,259.67,amap_distance_api,-2.522,-712.58
P001,天山天池,P024,喀什古城,base_summer,6.7,1272.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,1387.504,14.796,887.7,763.13,amap_distance_api,8.096,-509.12
P001,天山天池,P025,艾提尕尔清真寺,base_summer,6.7,1272.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,1387.449,14.777,886.6,763.1,amap_distance_api,8.077,-509.15
P001,天山天池,P026,香妃园,base_summer,6.7,1272.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,1387.463,14.783,887.0,763.1,amap_distance_api,8.083,-509.15
P001,天山天池,P027,帕米尔高原白沙湖,base_summer,13.4,1431.75,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1579.874,17.584,1055.1,868.93,amap_distance_api,4.184,-562.82
P001,天山天池,P028,石头城遗址,base_summer,11.2,1431.75,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1679.568,19.035,1142.1,923.76,amap_distance_api,7.835,-507.99
P001,天山天池,P029,天山神秘大峡谷,base_summer,7.65,1072.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,658.752,10.131,607.9,362.31,amap_distance_api,2.481,-709.94
P001,天山天池,P030,库车王府,base_summer,6.45,1072.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,685.707,7.885,473.1,377.14,amap_distance_api,1.435,-695.11
P001,天山天池,P031,克孜尔石窟,base_summer,7.65,1072.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,740.103,8.898,533.9,407.06,amap_distance_api,1.248,-665.19
P001,天山天池,P032,博斯腾湖,base_summer,6.2,872.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,413.12,5.654,339.2,227.22,amap_distance_api,-0.546,-645.03
P001,天山天池,P033,巴音布鲁克草原,base_summer,10.3,1215.25,0.65,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,469.23,6.876,412.6,258.08,amap_distance_api,-3.424,-957.17
P001,天山天池,P034,罗布人村寨,base_summer,6.9,872.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,476.483,5.732,343.9,262.07,amap_distance_api,-1.168,-610.18
P001,天山天池,P035,江布拉克草原,base_summer,3.15,52.25,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,171.581,1.986,119.2,94.37,amap_distance_api,-1.164,42.12
P001,天山天池,P036,北庭故城遗址,base_summer,1.95,52.25,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,110.869,1.313,78.8,60.98,amap_distance_api,-0.637,8.73
P001,天山天池,P037,和田博物馆,base_summer,9.7,1822.25,0.38,scenic_shuttle -> self_drive -> transfer -> air -> air -> transfer -> scenic_shuttle,1342.133,16.206,972.4,738.17,amap_distance_api,6.506,-1084.08
P001,天山天池,P038,尼雅遗址,base_summer,12.9,1882.75,0.46,scenic_shuttle -> self_drive -> transfer -> air -> air -> transfer -> self_drive -> scenic_shuttle,1091.362,14.526,871.5,600.25,amap_distance_api,1.626,-1282.5
P001,天山天池,P039,千里葡萄长廊,base_summer,9.7,1822.25,0.38,scenic_shuttle -> self_drive -> transfer -> air -> air -> transfer -> scenic_shuttle,1341.929,16.214,972.9,738.06,amap_distance_api,6.514,-1084.19
P001,天山天池,P040,奥依塔克冰川,base_summer,8.4,1272.25,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,1492.91,16.178,970.7,821.1,amap_distance_api,7.778,-451.15
P002,达坂城古镇,P001,天山天池,base_summer,4.15,107.25,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,168.627,1.921,115.3,92.74,amap_distance_api,-2.229,-14.51
P002,达坂城古镇,P002,达坂城古镇,base_summer,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,self_loop_forced_zero,0.0,0.0
P002,达坂城古镇,P003,火焰山,base_summer,3.8,66.0,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,125.018,1.617,97.0,68.76,amap_distance_api,-2.183,2.76
P002,达坂城古镇,P004,葡萄沟,base_summer,3.1,66.0,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,103.008,1.296,77.7,56.65,amap_distance_api,-1.804,-9.35
P002,达坂城古镇,P005,坎儿井民俗园,base_summer,3.1,66.0,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,99.349,1.307,78.4,54.64,amap_distance_api,-1.793,-11.36
P002,达坂城古镇,P006,交河故城,base_summer,3.1,66.0,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,104.968,1.408,84.5,57.73,amap_distance_api,-1.692,-8.27
P002,达坂城古镇,P007,楼兰古城,base_summer,18.25,1133.5,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1382.897,14.58,874.8,760.59,amap_distance_api,-3.67,-372.91
P002,达坂城古镇,P008,赛里木湖,base_summer,8.9,1657.5,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,638.227,6.635,398.1,351.02,amap_distance_api,-2.265,-1306.48
P002,达坂城古镇,P009,那拉提草原,base_summer,13.25,1712.5,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,522.628,8.109,486.6,287.45,amap_distance_api,-5.141,-1425.05
P002,达坂城古镇,P010,喀拉峻大草原,base_summer,10.75,1638.25,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,791.016,12.045,722.7,435.06,amap_distance_api,1.295,-1203.19
P002,达坂城古镇,P011,高昌故城,base_summer,3.8,66.0,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,133.559,1.898,113.9,73.46,amap_distance_api,-1.902,7.46
P002,达坂城古镇,P012,苏公塔,base_summer,3.1,66.0,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,104.916,1.379,82.8,57.7,amap_distance_api,-1.721,-8.3
P002,达坂城古镇,P013,吐峪沟麻扎村,base_summer,3.8,66.0,0.16,scenic_shuttle -> self_drive -> scenic_shuttle,155.7,1.779,106.8,85.64,amap_distance_api,-2.021,19.64
P002,达坂城古镇,P014,霍城薰衣草花田,base_summer,8.75,1599.75,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,699.913,7.664,459.9,384.95,amap_distance_api,-1.086,-1214.8
P002,达坂城古镇,P015,昭苏草原,base_summer,13.25,1674.0,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,829.514,13.968,838.1,456.23,amap_distance_api,0.718,-1217.77
P002,达坂城古镇,P016,夏塔古道,base_summer,11.75,1754.0,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,898.513,13.361,801.7,494.18,amap_distance_api,1.611,-1259.82
P002,达坂城古镇,P017,果子沟大桥,base_summer,8.9,1657.5,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,686.623,7.2,432.0,377.64,amap_distance_api,-1.7,-1279.86
P002,达坂城古镇,P018,喀纳斯湖,base_summer,10.15,396.0,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,775.304,9.919,595.1,426.42,amap_distance_api,-0.231,30.42
P002,达坂城古镇,P019,禾木村,base_summer,10.15,396.0,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,770.703,9.578,574.7,423.89,amap_distance_api,-0.572,27.89
P002,达坂城古镇,P020,白哈巴村,base_summer,11.15,729.0,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,759.112,9.457,567.4,417.51,amap_distance_api,-1.693,-311.49
P002,达坂城古镇,P021,可可托海,base_summer,9.15,418.5,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,625.212,6.861,411.6,343.87,amap_distance_api,-2.289,-74.63
P002,达坂城古镇,P022,五彩滩,base_summer,10.15,396.0,0.24,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,639.777,7.231,433.9,351.88,amap_distance_api,-2.919,-44.12
P002,达坂城古镇,P023,世界魔鬼城,base_summer,8.25,975.0,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,522.615,5.36,321.6,287.44,amap_distance_api,-2.89,-687.56
P002,达坂城古镇,P024,喀什古城,base_summer,7.55,1275.0,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,1381.212,14.537,872.2,759.67,amap_distance_api,6.987,-515.33
P002,达坂城古镇,P025,艾提尕尔清真寺,base_summer,7.55,1275.0,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,1381.157,14.518,871.0,759.64,amap_distance_api,6.968,-515.36
P002,达坂城古镇,P026,香妃园,base_summer,7.55,1275.0,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,1381.171,14.525,871.5,759.64,amap_distance_api,6.975,-515.36
P002,达坂城古镇,P027,帕米尔高原白沙湖,base_summer,14.25,1434.5,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1573.582,17.326,1039.6,865.47,amap_distance_api,3.076,-569.03
P002,达坂城古镇,P028,石头城遗址,base_summer,12.05,1434.5,0.38,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1673.276,18.773,1126.4,920.3,amap_distance_api,6.723,-514.2
P002,达坂城古镇,P029,天山神秘大峡谷,base_summer,8.5,1075.0,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,652.46,9.833,590.0,358.85,amap_distance_api,1.333,-716.15
P002,达坂城古镇,P030,库车王府,base_summer,7.3,1075.0,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,679.415,7.615,456.9,373.68,amap_distance_api,0.315,-701.32
P002,达坂城古镇,P031,克孜尔石窟,base_summer,8.5,1075.0,0.3,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> scenic_shuttle,733.811,8.63,517.8,403.6,amap_distance_api,0.13,-671.4
