query_date,from_city,to_city,from_station,to_station,train_no,train_code,depart_time,arrive_time,duration,duration_hours,can_book,train_date_raw,train_location,from_station_no,to_station_no,seat_types,availability_business,availability_first_class,availability_second_class,availability_soft_sleeper,availability_hard_sleeper,availability_hard_seat,availability_no_seat,price_second_class_yuan,price_first_class_yuan,price_business_class_yuan,price_hard_seat_yuan,price_hard_sleeper_yuan,price_soft_sleeper_yuan,price_no_seat_yuan,min_ticket_price_yuan,source,source_url,query_timestamp,model_option_role
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐南,吐鲁番北,93000D88140B,D8814,19:04,19:51,00:47,0.783,Y,20260620,R1,2,3,M0O0W0,,4,有,,,,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:01.857778+08:00,fastest
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,9300000Z6601,Z66,07:10,08:30,01:20,1.333,Y,20260620,R1,1,2,304010W0,,,,无,3,有,有,,,,24.5,70.5,108.5,24.5,24.5,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:55.384710+08:00,cheapest
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐南,吐鲁番北,93000D88140B,D8814,19:04,19:51,00:47,0.783,Y,20260620,R1,2,3,M0O0W0,,4,有,,,,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:01.857778+08:00,night_or_early
2026-06-20,乌鲁木齐,库尔勒,乌鲁木齐南,库尔勒,930000C87206,C872,17:20,20:47,03:27,3.45,Y,20260620,R1,1,2,O090M0W0,4.0,16,有,,,,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:09.501805+08:00,fastest
2026-06-20,乌鲁木齐,库尔勒,乌鲁木齐,库尔勒,930000C80204,C802,09:00,13:00,04:00,4.0,Y,20260620,R1,1,5,O0M0W0,,无,有,,,,有,108.0,,,,,,108.0,108.0,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:06.165411+08:00,cheapest
2026-06-20,乌鲁木齐,库尔勒,乌鲁木齐南,库尔勒,930000C81804,C818,18:30,22:30,04:00,4.0,Y,20260620,R1,2,7,O0M0W0,,有,有,,,,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:10.084145+08:00,night_or_early
2026-06-20,乌鲁木齐,伊宁,乌鲁木齐,伊宁,930000C8450H,C845,10:05,15:04,04:59,4.983,Y,20260620,R1,1,6,O0M0W0,,14,有,,,,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:14.093143+08:00,fastest
2026-06-20,乌鲁木齐,伊宁,乌鲁木齐,伊宁,93000K67010Z,K6701,19:15,06:00,10:45,10.75,Y,20260620,R1,1,5,3010W0,,,,,有,有,有,,,,81.0,144.0,,81.0,81.0,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:15.512968+08:00,cheapest
2026-06-20,乌鲁木齐,伊宁,乌鲁木齐,伊宁,93000Z651105,Z6511,23:04,06:51,07:47,7.783,Y,20260620,R1,1,5,304010W0,,,,17,有,有,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:16.285607+08:00,night_or_early
2026-06-20,乌鲁木齐,喀什,乌鲁木齐,喀什,93000Z651604,Z6516,20:40,08:10,11:30,11.5,Y,20260620,R1,1,2,306040,,,,有,有,,,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:19.465597+08:00,fastest
2026-06-20,乌鲁木齐,喀什,乌鲁木齐,喀什,93000Z651604,Z6516,20:40,08:10,11:30,11.5,Y,20260620,R1,1,2,306040,,,,有,有,,,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:22:19.465597+08:00,cheapest
