route_id,base_days,buffer_days,deadline_days,on_time_probability,mean_completion_days,p90_completion_days,p95_completion_days,recommended
S3_MinMax_Group1,13,0,13,0.1805,14.9,17.0,18.0,False
S3_MinMax_Group1,13,1,14,0.4632,14.9,17.0,18.0,False
S3_MinMax_Group1,13,2,15,0.6987,14.9,17.0,18.0,False
S3_MinMax_Group1,13,3,16,0.8478,14.9,17.0,18.0,False
S3_MinMax_Group1,13,4,17,0.9364,14.9,17.0,18.0,True
S3_MinMax_Group1,13,5,18,0.9782,14.9,17.0,18.0,True
S3_MinMax_Group1,13,6,19,0.9939,14.9,17.0,18.0,False
S3_MinMax_Group1,13,7,20,0.9986,14.9,17.0,18.0,False
S3_MinMax_Group2,12,0,12,0.218,13.72,16.0,16.0,False
S3_MinMax_Group2,12,1,13,0.5159,13.72,16.0,16.0,False
S3_MinMax_Group2,12,2,14,0.7379,13.72,16.0,16.0,False
S3_MinMax_Group2,12,3,15,0.8742,13.72,16.0,16.0,False
S3_MinMax_Group2,12,4,16,0.9547,13.72,16.0,16.0,True
S3_MinMax_Group2,12,5,17,0.9859,13.72,16.0,16.0,True
S3_MinMax_Group2,12,6,18,0.996,13.72,16.0,16.0,False
S3_MinMax_Group2,12,7,19,0.9994,13.72,16.0,16.0,False
S3_MinMax_Group3,11,0,11,0.2164,12.7,15.0,15.0,False
S3_MinMax_Group3,11,1,12,0.5172,12.7,15.0,15.0,False
S3_MinMax_Group3,11,2,13,0.7446,12.7,15.0,15.0,False
S3_MinMax_Group3,11,3,14,0.8856,12.7,15.0,15.0,False
S3_MinMax_Group3,11,4,15,0.9547,12.7,15.0,15.0,True
S3_MinMax_Group3,11,5,16,0.9852,12.7,15.0,15.0,True
S3_MinMax_Group3,11,6,17,0.9952,12.7,15.0,15.0,False
S3_MinMax_Group3,11,7,18,0.9988,12.7,15.0,15.0,False
