base_project_days,buffer_days,project_deadline_days,all_groups_on_time_probability,mean_project_completion_days,p90_project_completion_days,p95_project_completion_days,policy
13,0,13,0.0644,15.38,17.0,18.0,缓冲不足
13,1,14,0.2968,15.38,17.0,18.0,缓冲不足
13,2,15,0.5813,15.38,17.0,18.0,缓冲不足
13,3,16,0.7971,15.38,17.0,18.0,缓冲不足
13,4,17,0.9184,15.38,17.0,18.0,可作为90%可靠性缓冲
13,5,18,0.9731,15.38,17.0,18.0,可作为90%可靠性缓冲
13,6,19,0.9926,15.38,17.0,18.0,可作为90%可靠性缓冲
13,7,20,0.9986,15.38,17.0,18.0,可作为90%可靠性缓冲
13,8,21,1.0,15.38,17.0,18.0,可作为90%可靠性缓冲
13,9,22,1.0,15.38,17.0,18.0,可作为90%可靠性缓冲
