question,profile_id,profile_name,policy_id,policy_name,expected_loss,tail_loss_cvar75,risk_adjusted_objective,weighted_success_probability,worst_success_probability,max_p95_completion_days,is_selected
Q3,balanced,均衡稳健型,buffer_5d,5天项目缓冲,3128.41,6835.0,6204.15,0.8832,0.317,25.0,True
Q3,balanced,均衡稳健型,buffer_4d,4天项目缓冲,3807.56,8351.41,7565.69,0.8245,0.1762,25.0,False
Q3,balanced,均衡稳健型,preapproval_4d,前置审批+4天缓冲,4107.52,8418.99,7896.06,0.8657,0.2135,24.0,False
Q3,balanced,均衡稳健型,split_team_4d,机动小组+4天缓冲,5045.94,8294.88,8778.64,0.8954,0.3837,23.0,False
Q3,balanced,均衡稳健型,no_buffer,无缓冲,10341.42,14781.69,16993.18,0.1044,0.0,25.0,False
Q3,conservative,保守可靠型,buffer_5d,5天项目缓冲,4337.63,9662.48,12550.74,0.836,0.317,25.0,True
Q3,conservative,保守可靠型,split_team_4d,机动小组+4天缓冲,6104.03,10861.74,15336.51,0.8521,0.3837,23.0,False
Q3,conservative,保守可靠型,preapproval_4d,前置审批+4天缓冲,5512.09,11940.21,15661.27,0.8074,0.2135,24.0,False
Q3,conservative,保守可靠型,buffer_4d,4天项目缓冲,5476.83,12264.39,15901.56,0.7636,0.1762,25.0,False
Q3,conservative,保守可靠型,no_buffer,无缓冲,15515.24,21269.0,33593.89,0.083,0.0,25.0,False
Q3,extreme_safe,极端安全型,split_team_4d,机动小组+4天缓冲,8163.59,15873.95,29593.42,0.7735,0.3837,23.0,True
Q3,extreme_safe,极端安全型,buffer_5d,5天项目缓冲,7144.49,17166.17,30318.82,0.7484,0.317,25.0,False
Q3,extreme_safe,极端安全型,preapproval_4d,前置审批+4天缓冲,8971.84,21533.55,38042.13,0.7088,0.2135,24.0,False
Q3,extreme_safe,极端安全型,buffer_4d,4天项目缓冲,9334.41,22551.86,39779.42,0.6636,0.1762,25.0,False
Q3,extreme_safe,极端安全型,no_buffer,无缓冲,24455.52,31170.32,66535.46,0.0591,0.0,25.0,False
Q3,optimistic,乐观效率型,buffer_5d,5天项目缓冲,2498.18,5687.24,3351.27,0.9025,0.317,25.0,True
Q3,optimistic,乐观效率型,buffer_4d,4天项目缓冲,2941.4,6606.02,3932.3,0.8541,0.1762,25.0,False
Q3,optimistic,乐观效率型,preapproval_4d,前置审批+4天缓冲,3480.32,6799.74,4500.28,0.8906,0.2135,24.0,False
Q3,optimistic,乐观效率型,split_team_4d,机动小组+4天缓冲,4515.0,7124.46,5583.67,0.9132,0.3837,23.0,False
Q3,optimistic,乐观效率型,no_buffer,无缓冲,7345.04,10634.18,8940.17,0.1285,0.0,25.0,False
