scenario_id,scenario_name,policy_id,policy_name,deadline_days,operational_success_probability,mean_project_completion_days,p90_project_completion_days,p95_project_completion_days,mean_fairness_gap_days,expected_delay_loss_days,cvar90_delay_loss_days,expected_extra_cost_yuan
compound_extreme,复合极端冲击,buffer_4d,4天项目缓冲,17,0.056,21.04,25.0,26.0,5.48,4.056,9.358,4581.32
compound_extreme,复合极端冲击,buffer_5d,5天项目缓冲,18,0.14,21.29,25.0,27.0,5.73,3.358,8.667,4697.52
compound_extreme,复合极端冲击,mobile_team_4d,机动小组+4天缓冲,17,0.166,19.78,23.0,24.0,4.88,2.856,7.29,6306.36
compound_extreme,复合极端冲击,mobile_team_5d,机动小组+5天缓冲,18,0.374,19.59,23.0,24.0,4.84,1.89,6.284,6177.16
compound_extreme,复合极端冲击,split_or_postpone_7d,延后/拆期+7天缓冲,20,0.808,18.65,22.0,23.0,4.37,0.428,3.269,7311.64
heatwave,热浪高温,buffer_4d,4天项目缓冲,17,0.874,15.98,18.0,19.0,3.01,0.288,2.286,1511.52
heatwave,热浪高温,buffer_5d,5天项目缓冲,18,0.916,15.89,18.0,19.0,2.93,0.166,0.166,1463.64
heatwave,热浪高温,mobile_team_4d,机动小组+4天缓冲,17,0.91,15.43,17.0,18.0,2.63,0.132,0.132,3712.2
heatwave,热浪高温,mobile_team_5d,机动小组+5天缓冲,18,0.974,15.44,17.0,18.0,2.61,0.052,0.052,3729.84
heatwave,热浪高温,split_or_postpone_7d,延后/拆期+7天缓冲,20,0.992,15.21,17.0,18.0,2.5,0.012,0.012,5315.48
normal_summer,常规暑期,buffer_4d,4天项目缓冲,17,0.96,14.97,16.0,17.0,2.38,0.084,0.084,1005.8
normal_summer,常规暑期,buffer_5d,5天项目缓冲,18,0.976,15.07,17.0,18.0,2.51,0.056,0.056,1039.2
normal_summer,常规暑期,mobile_team_4d,机动小组+4天缓冲,17,0.978,14.6,16.0,17.0,2.15,0.044,0.044,3310.8
normal_summer,常规暑期,mobile_team_5d,机动小组+5天缓冲,18,0.986,14.7,16.0,17.0,2.26,0.034,0.034,3345.68
normal_summer,常规暑期,split_or_postpone_7d,延后/拆期+7天缓冲,20,0.996,14.43,16.0,17.0,2.04,0.004,0.004,4924.48
peak_summer,暑期客流高峰,buffer_4d,4天项目缓冲,17,0.75,16.57,19.0,20.0,3.32,0.526,3.19,1855.2
peak_summer,暑期客流高峰,buffer_5d,5天项目缓冲,18,0.872,16.51,19.0,20.0,3.29,0.28,2.188,1831.84
peak_summer,暑期客流高峰,mobile_team_4d,机动小组+4天缓冲,17,0.874,15.88,18.0,18.05,2.91,0.216,1.714,3967.8
peak_summer,暑期客流高峰,mobile_team_5d,机动小组+5天缓冲,18,0.912,16.18,18.0,19.0,3.21,0.186,0.186,4067.36
peak_summer,暑期客流高峰,split_or_postpone_7d,延后/拆期+7天缓冲,20,0.986,15.47,17.0,18.0,2.63,0.026,0.026,5456.16
rain_flood_delay,雨洪道路延误,buffer_4d,4天项目缓冲,17,0.27,18.98,22.0,23.05,4.59,2.11,6.47,3268.44
rain_flood_delay,雨洪道路延误,buffer_5d,5天项目缓冲,18,0.49,18.91,22.0,24.0,4.59,1.35,5.707,3238.56
rain_flood_delay,雨洪道路延误,mobile_team_4d,机动小组+4天缓冲,17,0.474,17.86,21.0,22.0,4.0,1.236,5.039,5148.28
rain_flood_delay,雨洪道路延误,mobile_team_5d,机动小组+5天缓冲,18,0.694,17.77,20.0,21.0,3.94,0.672,3.128,5101.84
rain_flood_delay,雨洪道路延误,split_or_postpone_7d,延后/拆期+7天缓冲,20,0.956,16.97,19.1,20.0,3.47,0.062,0.062,6335.32
reservation_tight,预约收紧,buffer_4d,4天项目缓冲,17,0.872,15.75,18.0,20.0,2.9,0.326,2.547,1413.2
reservation_tight,预约收紧,buffer_5d,5天项目缓冲,18,0.92,15.74,18.0,20.0,2.92,0.218,0.218,1379.96
reservation_tight,预约收紧,mobile_team_4d,机动小组+4天缓冲,17,0.926,15.19,17.0,18.0,2.5,0.176,0.176,3621.68
reservation_tight,预约收紧,mobile_team_5d,机动小组+5天缓冲,18,0.962,15.17,17.0,18.0,2.52,0.07,0.07,3585.72
reservation_tight,预约收紧,split_or_postpone_7d,延后/拆期+7天缓冲,20,0.998,14.94,17.0,17.05,2.39,0.008,0.008,5165.44
