scenario_id,trial,external_multicity_premium_yuan_for_two,open_gateway_effective_cost_yuan_for_two,rooted_effective_cost_yuan_for_two,open_gateway_savings_yuan_for_two,chosen_policy
optimistic_multicity,1,185.99,3178.68,4340.68,1162.0,open_gateway
optimistic_multicity,2,1083.41,4076.1,4340.68,264.58,open_gateway
optimistic_multicity,3,390.68,3383.37,4340.68,957.31,open_gateway
optimistic_multicity,4,490.02,3482.71,4340.68,857.97,open_gateway
optimistic_multicity,5,478.63,3471.32,4340.68,869.36,open_gateway
optimistic_multicity,6,1067.31,4060.0,4340.68,280.68,open_gateway
optimistic_multicity,7,1027.02,4019.71,4340.68,320.97,open_gateway
optimistic_multicity,8,506.19,3498.88,4340.68,841.8,open_gateway
optimistic_multicity,9,635.64,3628.33,4340.68,712.35,open_gateway
optimistic_multicity,10,964.0,3956.69,4340.68,383.99,open_gateway
optimistic_multicity,11,590.78,3583.47,4340.68,757.21,open_gateway
optimistic_multicity,12,265.19,3257.88,4340.68,1082.8,open_gateway
optimistic_multicity,13,742.86,3735.55,4340.68,605.13,open_gateway
optimistic_multicity,14,319.49,3312.18,4340.68,1028.5,open_gateway
optimistic_multicity,15,317.8,3310.49,4340.68,1030.19,open_gateway
optimistic_multicity,16,503.09,3495.78,4340.68,844.9,open_gateway
optimistic_multicity,17,204.64,3197.33,4340.68,1143.35,open_gateway
optimistic_multicity,18,670.24,3662.93,4340.68,677.75,open_gateway
optimistic_multicity,19,305.36,3298.05,4340.68,1042.63,open_gateway
optimistic_multicity,20,672.57,3665.26,4340.68,675.42,open_gateway
optimistic_multicity,21,530.01,3522.7,4340.68,817.98,open_gateway
optimistic_multicity,22,1339.13,4331.82,4340.68,8.86,open_gateway
optimistic_multicity,23,484.75,3477.44,4340.68,863.24,open_gateway
optimistic_multicity,24,859.85,3852.54,4340.68,488.14,open_gateway
optimistic_multicity,25,1146.13,4138.82,4340.68,201.86,open_gateway
optimistic_multicity,26,735.31,3728.0,4340.68,612.68,open_gateway
optimistic_multicity,27,19.92,3012.61,4340.68,1328.07,open_gateway
optimistic_multicity,28,506.39,3499.08,4340.68,841.6,open_gateway
optimistic_multicity,29,677.07,3669.76,4340.68,670.92,open_gateway
optimistic_multicity,30,1062.24,4054.93,4340.68,285.75,open_gateway
optimistic_multicity,31,924.62,3917.31,4340.68,423.37,open_gateway
optimistic_multicity,32,814.4,3807.09,4340.68,533.59,open_gateway
optimistic_multicity,33,671.63,3664.32,4340.68,676.36,open_gateway
optimistic_multicity,34,1086.56,4079.25,4340.68,261.43,open_gateway
optimistic_multicity,35,1217.51,4210.2,4340.68,130.48,open_gateway
optimistic_multicity,36,637.34,3630.03,4340.68,710.65,open_gateway
optimistic_multicity,37,253.46,3246.15,4340.68,1094.53,open_gateway
optimistic_multicity,38,1340.02,4332.71,4340.68,7.97,open_gateway
optimistic_multicity,39,387.82,3380.51,4340.68,960.17,open_gateway
