plan_id,simulation_samples,operational_success_probability,strict_comfort_success_probability,expected_intra_transport_cost,p95_intra_transport_cost,expected_max_year_days,p95_max_year_days,expected_loss,cvar75_loss,cvar90_loss,break_even_external_premium,open_gateway_cheaper_probability,simulation_note
Q2V3_010_OPEN_GATEWAY,500,0.98,0.97,2576.29,2948.72,25.858,29.0,271.662,724.066,1037.153,1266.15,0.546,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_071_OPEN_GATEWAY,500,1.0,0.994,2794.9,3180.8,19.498,22.0,305.726,740.471,978.56,1060.29,0.428,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_083_OPEN_GATEWAY,500,0.998,0.0,2895.78,3310.89,18.364,21.0,496.155,963.98,1214.006,961.96,0.34,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_073_OPEN_GATEWAY,500,0.998,0.992,2977.71,3419.89,19.48,22.0,370.418,857.196,1048.247,884.79,0.296,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_039_OPEN_GATEWAY,500,0.998,0.932,3115.17,3537.34,20.76,24.0,589.197,1111.723,1347.943,784.52,0.23,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_061_OPEN_GATEWAY,500,1.0,0.992,3119.63,3560.83,20.616,23.0,396.179,857.313,1064.231,756.16,0.248,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_075_OPEN_GATEWAY,500,1.0,0.992,3124.79,3546.47,20.696,23.05,409.103,913.69,1145.245,756.16,0.214,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_053_OPEN_GATEWAY,500,1.0,0.988,3129.97,3559.24,21.638,24.0,407.418,888.632,1130.268,742.95,0.216,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_081_OPEN_GATEWAY,500,0.996,0.976,3138.07,3595.49,20.606,23.0,430.887,925.702,1167.443,739.18,0.2,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_016_OPEN_GATEWAY,500,1.0,0.988,3235.58,3682.62,23.754,27.0,483.985,981.218,1202.985,644.48,0.142,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_002_OPEN_GATEWAY,500,0.998,0.992,3260.38,3701.68,17.464,20.0,458.934,972.973,1224.727,621.51,0.152,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_006_OPEN_GATEWAY,500,1.0,0.99,3277.81,3726.02,17.452,20.0,468.939,976.962,1201.431,621.51,0.136,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
