question,scenario_id,scenario_name,policy_id,policy_name,mean_served_visitors,mean_rejected_or_waitlisted,p90_rejected_or_waitlisted,mean_system_utilization,prob_any_pressure_route,mean_share_routes_over_95pct_pressure,recommended_use
Q4,normal_summer,常规暑期,full_release,全量放票,100429,7827,13650,0.898,0.9965,0.45,需加开线路/前置限流
Q4,normal_summer,常规暑期,safety_cap_95,95%安全预约上限,98141,7794,13936,0.878,0.9925,0.406,需加开线路/前置限流
Q4,normal_summer,常规暑期,comfort_cap_90,90%舒适预约上限,95169,8891,15935,0.851,0.986,0.372,需加开线路/前置限流
Q4,normal_summer,常规暑期,dynamic_reallocation,动态分流+95%上限,96988,4737,6934,0.867,0.979,0.332,需加开线路/前置限流
Q4,normal_summer,常规暑期,staggered_prebooking,分时预约+动态分流,93130,4184,4267,0.833,0.9275,0.253,需加开线路/前置限流
Q4,heatwave,热浪高温,full_release,全量放票,91848,10944,16220,0.892,0.9938,0.428,需加开线路/前置限流
Q4,heatwave,热浪高温,safety_cap_95,95%安全预约上限,89891,10829,16493,0.873,0.992,0.385,需加开线路/前置限流
Q4,heatwave,热浪高温,comfort_cap_90,90%舒适预约上限,87149,11530,17992,0.846,0.9808,0.348,需加开线路/前置限流
Q4,heatwave,热浪高温,dynamic_reallocation,动态分流+95%上限,88431,8180,9609,0.859,0.9677,0.308,需加开线路/前置限流
Q4,heatwave,热浪高温,staggered_prebooking,分时预约+动态分流,84995,7643,8097,0.825,0.9177,0.239,需加开线路/前置限流
Q4,rain_flood_delay,雨洪道路延误,full_release,全量放票,83645,13758,19736,0.911,0.9992,0.502,需加开线路/前置限流
Q4,rain_flood_delay,雨洪道路延误,safety_cap_95,95%安全预约上限,81644,13842,20162,0.889,0.9982,0.464,需加开线路/前置限流
Q4,rain_flood_delay,雨洪道路延误,comfort_cap_90,90%舒适预约上限,78869,14692,21260,0.859,0.995,0.423,需加开线路/前置限流
Q4,rain_flood_delay,雨洪道路延误,dynamic_reallocation,动态分流+95%上限,81362,10254,13993,0.886,0.9912,0.385,需加开线路/前置限流
Q4,rain_flood_delay,雨洪道路延误,staggered_prebooking,分时预约+动态分流,78336,9334,11806,0.854,0.9635,0.304,需加开线路/前置限流
Q4,reservation_tight,预约收紧,full_release,全量放票,95901,17698,25947,0.951,1.0,0.702,需加开线路/前置限流
Q4,reservation_tight,预约收紧,safety_cap_95,95%安全预约上限,92557,18863,27392,0.919,1.0,0.673,需加开线路/前置限流
Q4,reservation_tight,预约收紧,comfort_cap_90,90%舒适预约上限,88641,20594,29168,0.88,1.0,0.642,需加开线路/前置限流
Q4,reservation_tight,预约收紧,dynamic_reallocation,动态分流+95%上限,93737,12985,20862,0.93,1.0,0.599,需加开线路/前置限流
Q4,reservation_tight,预约收紧,staggered_prebooking,分时预约+动态分流,91525,10681,18438,0.908,0.9995,0.519,需加开线路/前置限流
Q4,peak_summer,暑期客流高峰,full_release,全量放票,103505,26277,36389,0.973,1.0,0.833,需加开线路/前置限流
Q4,peak_summer,暑期客流高峰,safety_cap_95,95%安全预约上限,99212,28077,38504,0.933,1.0,0.811,需加开线路/前置限流
Q4,peak_summer,暑期客流高峰,comfort_cap_90,90%舒适预约上限,94537,29860,40027,0.889,1.0,0.786,需加开线路/前置限流
Q4,peak_summer,暑期客流高峰,dynamic_reallocation,动态分流+95%上限,100051,22032,32075,0.94,1.0,0.76,需加开线路/前置限流
Q4,peak_summer,暑期客流高峰,staggered_prebooking,分时预约+动态分流,97906,18865,28528,0.921,1.0,0.694,需加开线路/前置限流
Q4,compound_extreme,复合极端冲击,full_release,全量放票,89161,56815,69396,0.995,1.0,0.969,需加开线路/前置限流
Q4,compound_extreme,复合极端冲击,safety_cap_95,95%安全预约上限,84857,58322,70254,0.947,1.0,0.965,需加开线路/前置限流
Q4,compound_extreme,复合极端冲击,comfort_cap_90,90%舒适预约上限,80448,59683,71696,0.898,1.0,0.958,需加开线路/前置限流
Q4,compound_extreme,复合极端冲击,dynamic_reallocation,动态分流+95%上限,84947,52270,64121,0.948,1.0,0.952,需加开线路/前置限流
Q4,compound_extreme,复合极端冲击,staggered_prebooking,分时预约+动态分流,83165,48110,59223,0.928,1.0,0.933,需加开线路/前置限流
