scenario_id,policy_id,served_p10,served_p50,served_p90,rejected_p50,rejected_p95
normal_summer,full_release,95096,100882,105254,6681,15983
normal_summer,safety_cap_95,93259,98759,102130,6548,16574
normal_summer,comfort_cap_90,91639,95593,98165,7817,18161
normal_summer,dynamic_reallocation,89919,97396,103528,4058,9395
normal_summer,staggered_prebooking,85729,93144,100666,3881,6456
heatwave,full_release,86625,92234,96510,9857,18264
heatwave,safety_cap_95,85132,90448,93725,9320,18720
heatwave,comfort_cap_90,83242,87713,90259,10246,20443
heatwave,dynamic_reallocation,81537,88660,94966,7710,12027
heatwave,staggered_prebooking,78070,85046,92232,7395,9702
rain_flood_delay,full_release,79786,83825,87156,13020,21957
rain_flood_delay,safety_cap_95,78554,81890,84501,13066,22325
rain_flood_delay,comfort_cap_90,76496,79054,81162,14024,23895
rain_flood_delay,dynamic_reallocation,75710,82191,85696,9139,16181
rain_flood_delay,staggered_prebooking,72317,78813,83454,8757,13734
reservation_tight,full_release,92792,96000,98871,17261,28686
reservation_tight,safety_cap_95,90167,92582,94947,18514,30167
reservation_tight,comfort_cap_90,86666,88653,90609,20341,31753
reservation_tight,dynamic_reallocation,91838,93937,95659,12402,24244
reservation_tight,staggered_prebooking,89125,91877,93631,9607,20923
peak_summer,full_release,100793,103581,106178,25964,39548
peak_summer,safety_cap_95,97000,99252,101371,27730,41511
peak_summer,comfort_cap_90,92644,94569,96383,29683,42923
peak_summer,dynamic_reallocation,98368,100052,101765,21955,35556
peak_summer,staggered_prebooking,96268,97901,99572,18579,31685
compound_extreme,full_release,87516,89203,90735,56411,73430
compound_extreme,safety_cap_95,83410,84878,86269,58040,73649
compound_extreme,comfort_cap_90,79099,80453,81824,59623,75428
compound_extreme,dynamic_reallocation,83580,84948,86297,51825,68314
compound_extreme,staggered_prebooking,81829,83157,84495,47821,62719
