demand_multiplier,policy_id,booking_cap_ratio,requested_visitors,served_visitors,waitlist_or_rejected_visitors,capacity_utilization,mean_route_load_before_pooling,routes_with_physical_overload_risk,policy_interpretation
1.0,full_capacity,1.0,106358,106358,0,0.95,0.959,0,最大接待优先
1.0,safety_cap_95pct,0.95,106358,106358,0,0.95,0.915,0,保留少量安全余量，适合不确定天气/交通
1.0,comfort_cap_90pct,0.9,106358,100760,5598,0.9,0.87,0,体验优先，适合高端/亲子客群
1.05,full_capacity,1.0,111676,111676,0,0.997,0.963,8,最大接待优先
1.05,safety_cap_95pct,0.95,111676,106358,5318,0.95,0.918,8,保留少量安全余量，适合不确定天气/交通
1.05,comfort_cap_90pct,0.9,111676,100760,10916,0.9,0.874,8,体验优先，适合高端/亲子客群
1.1,full_capacity,1.0,116994,111956,5038,1.0,0.966,8,最大接待优先
1.1,safety_cap_95pct,0.95,116994,106358,10636,0.95,0.922,8,保留少量安全余量，适合不确定天气/交通
1.1,comfort_cap_90pct,0.9,116994,100760,16233,0.9,0.878,8,体验优先，适合高端/亲子客群
1.2,full_capacity,1.0,127630,111956,15674,1.0,0.973,8,最大接待优先
1.2,safety_cap_95pct,0.95,127630,106358,21271,0.95,0.929,8,保留少量安全余量，适合不确定天气/交通
1.2,comfort_cap_90pct,0.9,127630,100760,26869,0.9,0.885,8,体验优先，适合高端/亲子客群
1.35,full_capacity,1.0,143583,111956,31627,1.0,0.984,8,最大接待优先
1.35,safety_cap_95pct,0.95,143583,106358,37225,0.95,0.94,8,保留少量安全余量，适合不确定天气/交通
1.35,comfort_cap_90pct,0.9,143583,100760,42823,0.9,0.895,8,体验优先，适合高端/亲子客群
