demand_multiplier,policy_id,column_id,route_theme,requested_visitors,booking_cap,initially_accepted,waitlist
1.0,full_capacity,COL001,North_Kanas,13600,13600,13600,0
1.0,full_capacity,COL002,Ili_Lake_Grass,17485,17485,17485,0
1.0,full_capacity,COL003,East_Heritage,9702,15300,9702,0
1.0,full_capacity,COL004,South_Culture,4371,4371,4371,0
1.0,full_capacity,COL005,Bazhou_Desert,12240,12240,12240,0
1.0,full_capacity,COL006,Hotan_Plus,12240,12240,12240,0
1.0,full_capacity,COL007,Short_Urumqi_East,20400,20400,20400,0
1.0,full_capacity,COL008,SilkRoad_Deep,10200,10200,10200,0
1.0,full_capacity,COL009,Border_Pamir,6120,6120,6120,0
1.0,safety_cap_95pct,COL001,North_Kanas,13600,12920,12920,680
1.0,safety_cap_95pct,COL002,Ili_Lake_Grass,17485,16611,16611,874
1.0,safety_cap_95pct,COL003,East_Heritage,9702,14535,9702,0
1.0,safety_cap_95pct,COL004,South_Culture,4371,4152,4152,219
1.0,safety_cap_95pct,COL005,Bazhou_Desert,12240,11628,11628,612
1.0,safety_cap_95pct,COL006,Hotan_Plus,12240,11628,11628,612
1.0,safety_cap_95pct,COL007,Short_Urumqi_East,20400,19380,19380,1020
1.0,safety_cap_95pct,COL008,SilkRoad_Deep,10200,9690,9690,510
1.0,safety_cap_95pct,COL009,Border_Pamir,6120,5814,5814,306
1.0,comfort_cap_90pct,COL001,North_Kanas,13600,12240,12240,1360
1.0,comfort_cap_90pct,COL002,Ili_Lake_Grass,17485,15736,15736,1748
1.0,comfort_cap_90pct,COL003,East_Heritage,9702,13770,9702,0
1.0,comfort_cap_90pct,COL004,South_Culture,4371,3934,3934,437
1.0,comfort_cap_90pct,COL005,Bazhou_Desert,12240,11016,11016,1224
1.0,comfort_cap_90pct,COL006,Hotan_Plus,12240,11016,11016,1224
1.0,comfort_cap_90pct,COL007,Short_Urumqi_East,20400,18360,18360,2040
1.0,comfort_cap_90pct,COL008,SilkRoad_Deep,10200,9180,9180,1020
1.0,comfort_cap_90pct,COL009,Border_Pamir,6120,5508,5508,612
1.05,full_capacity,COL001,North_Kanas,14280,13600,13600,680
1.05,full_capacity,COL002,Ili_Lake_Grass,18359,17485,17485,874
1.05,full_capacity,COL003,East_Heritage,10187,15300,10187,0
1.05,full_capacity,COL004,South_Culture,4590,4371,4371,219
1.05,full_capacity,COL005,Bazhou_Desert,12852,12240,12240,612
1.05,full_capacity,COL006,Hotan_Plus,12852,12240,12240,612
1.05,full_capacity,COL007,Short_Urumqi_East,21420,20400,20400,1020
1.05,full_capacity,COL008,SilkRoad_Deep,10710,10200,10200,510
1.05,full_capacity,COL009,Border_Pamir,6426,6120,6120,306
1.05,safety_cap_95pct,COL001,North_Kanas,14280,12920,12920,1360
1.05,safety_cap_95pct,COL002,Ili_Lake_Grass,18359,16611,16611,1748
1.05,safety_cap_95pct,COL003,East_Heritage,10187,14535,10187,0
1.05,safety_cap_95pct,COL004,South_Culture,4590,4152,4152,437
1.05,safety_cap_95pct,COL005,Bazhou_Desert,12852,11628,11628,1224
1.05,safety_cap_95pct,COL006,Hotan_Plus,12852,11628,11628,1224
1.05,safety_cap_95pct,COL007,Short_Urumqi_East,21420,19380,19380,2040
1.05,safety_cap_95pct,COL008,SilkRoad_Deep,10710,9690,9690,1020
1.05,safety_cap_95pct,COL009,Border_Pamir,6426,5814,5814,612
