question,profile_id,profile_name,policy_id,policy_name,expected_loss,tail_loss_cvar75,risk_adjusted_objective,weighted_rejected_or_waitlisted,worst_rejected_or_waitlisted,weighted_pressure_probability,is_selected
Q4,balanced,均衡稳健型,staggered_prebooking,分时预约+动态分流,20606.76,35461.85,36564.59,11582,48110,0.9604,True
Q4,balanced,均衡稳健型,dynamic_reallocation,动态分流+95%上限,22803.15,39165.23,40427.51,13154,52270,0.9875,False
Q4,balanced,均衡稳健型,full_release,全量放票,27459.52,44399.4,47439.25,16804,56815,0.9979,False
Q4,balanced,均衡稳健型,safety_cap_95,95%安全预约上限,27702.23,44848.5,47884.06,17400,58322,0.9963,False
Q4,balanced,均衡稳健型,comfort_cap_90,90%舒适预约上限,28942.75,46221.04,49742.22,18646,59683,0.9922,False
Q4,conservative,保守可靠型,staggered_prebooking,分时预约+动态分流,26727.86,48760.65,68174.41,14036,48110,0.9658,True
Q4,conservative,保守可靠型,dynamic_reallocation,动态分流+95%上限,29511.66,53616.81,75085.95,15806,52270,0.9892,False
Q4,conservative,保守可靠型,full_release,全量放票,35176.83,60129.5,86286.91,19550,56815,0.9982,False
Q4,conservative,保守可靠型,safety_cap_95,95%安全预约上限,35582.29,60828.15,87286.22,20229,58322,0.9969,False
Q4,conservative,保守可靠型,comfort_cap_90,90%舒适预约上限,37088.19,62463.93,90182.54,21475,59683,0.9933,False
Q4,extreme_safe,极端安全型,staggered_prebooking,分时预约+动态分流,42088.01,84554.55,156236.65,20929,48110,0.979,True
Q4,extreme_safe,极端安全型,dynamic_reallocation,动态分流+95%上限,46335.52,91592.85,169985.87,23353,52270,0.9933,False
Q4,extreme_safe,极端安全型,full_release,全量放票,53569.0,100075.85,188671.4,27368,56815,0.9989,False
Q4,extreme_safe,极端安全型,safety_cap_95,95%安全预约上限,54335.42,100669.2,190238.84,28368,58322,0.9982,False
Q4,extreme_safe,极端安全型,comfort_cap_90,90%舒适预约上限,56254.94,102229.05,194264.16,29721,59683,0.9959,False
Q4,optimistic,乐观效率型,staggered_prebooking,分时预约+动态分流,16369.21,28003.32,20569.71,10266,48110,0.9513,True
Q4,optimistic,乐观效率型,dynamic_reallocation,动态分流+95%上限,18125.87,30667.13,22725.94,11601,52270,0.9848,False
Q4,optimistic,乐观效率型,full_release,全量放票,21839.29,34839.78,27065.25,15092,56815,0.9974,False
Q4,optimistic,乐观效率型,safety_cap_95,95%安全预约上限,21910.11,34876.18,27141.54,15530,58322,0.9952,False
Q4,optimistic,乐观效率型,comfort_cap_90,90%舒适预约上限,22845.91,35856.14,28224.33,16722,59683,0.9903,False
