day_index,spot_id,spot_name,region_cluster,time_slot,visitor_load,slot_capacity_persons,contributing_routes,utilization,overload_persons,pressure_level
1,P013,吐峪沟麻扎村,东疆,afternoon,326.04,2565.0,Q4V2_R051;Q4V2_R053,0.1271,0.0,green
1,P013,吐峪沟麻扎村,东疆,evening,91.96,741.0,Q4V2_R051;Q4V2_R053,0.1241,0.0,green
1,P013,吐峪沟麻扎村,东疆,morning,627.0,2394.0,Q4V2_R051;Q4V2_R053,0.2619,0.0,green
1,P001,天山天池,乌鲁木齐周边,afternoon,1030.692,11029.5,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048,0.0934,0.0,green
1,P001,天山天池,乌鲁木齐周边,evening,290.708,3186.3,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048,0.0912,0.0,green
1,P001,天山天池,乌鲁木齐周边,morning,1982.1,10294.2,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048,0.1925,0.0,green
1,P002,达坂城古镇,乌鲁木齐周边,afternoon,363.428,2565.0,Q4V2_R015;Q4V2_R018,0.1417,0.0,green
1,P002,达坂城古镇,乌鲁木齐周边,evening,102.5053,741.0,Q4V2_R015;Q4V2_R018,0.1383,0.0,green
1,P002,达坂城古镇,乌鲁木齐周边,morning,698.9,2394.0,Q4V2_R015;Q4V2_R018,0.2919,0.0,green
1,P024,喀什古城,南疆,afternoon,273.26,51300.0,Q4V2_R039;Q4V2_R041,0.0053,0.0,green
1,P024,喀什古城,南疆,evening,77.0733,14820.0,Q4V2_R039;Q4V2_R041,0.0052,0.0,green
1,P024,喀什古城,南疆,morning,525.5,47880.0,Q4V2_R039;Q4V2_R041,0.011,0.0,green
1,P028,石头城遗址,南疆,afternoon,135.46,1282.5,Q4V2_R024;Q4V2_R063,0.1056,0.0,green
1,P028,石头城遗址,南疆,evening,38.2067,370.5,Q4V2_R024;Q4V2_R063,0.1031,0.0,green
1,P028,石头城遗址,南疆,morning,260.5,1197.0,Q4V2_R024;Q4V2_R063,0.2176,0.0,green
1,P033,巴音布鲁克草原,巴州-南疆北线,afternoon,302.146,5130.0,Q4V2_R008;Q4V2_R011,0.0589,0.0,green
1,P033,巴音布鲁克草原,巴州-南疆北线,evening,85.2207,1482.0,Q4V2_R008;Q4V2_R011,0.0575,0.0,green
1,P033,巴音布鲁克草原,巴州-南疆北线,morning,581.05,4788.0,Q4V2_R008;Q4V2_R011,0.1214,0.0,green
1,P034,罗布人村寨,巴州-南疆北线,afternoon,334.308,2565.0,Q4V2_R029;Q4V2_R030,0.1303,0.0,green
1,P034,罗布人村寨,巴州-南疆北线,evening,94.292,741.0,Q4V2_R029;Q4V2_R030,0.1272,0.0,green
1,P034,罗布人村寨,巴州-南疆北线,morning,642.9,2394.0,Q4V2_R029;Q4V2_R030,0.2685,0.0,green
2,P004,葡萄沟,东疆,afternoon,194.402,3420.0,Q4V2_R018,0.0568,0.0,green
2,P004,葡萄沟,东疆,evening,54.8313,988.0,Q4V2_R018,0.0555,0.0,green
2,P004,葡萄沟,东疆,morning,373.85,3192.0,Q4V2_R018,0.1171,0.0,green
2,P011,高昌故城,东疆,afternoon,326.04,2565.0,Q4V2_R051;Q4V2_R053,0.1271,0.0,green
2,P011,高昌故城,东疆,evening,91.96,741.0,Q4V2_R051;Q4V2_R053,0.1241,0.0,green
2,P011,高昌故城,东疆,morning,627.0,2394.0,Q4V2_R051;Q4V2_R053,0.2619,0.0,green
2,P001,天山天池,乌鲁木齐周边,afternoon,169.026,11029.5,Q4V2_R015,0.0153,0.0,green
2,P001,天山天池,乌鲁木齐周边,evening,47.674,3186.3,Q4V2_R015,0.015,0.0,green
2,P001,天山天池,乌鲁木齐周边,morning,325.05,10294.2,Q4V2_R015,0.0316,0.0,green
2,P002,达坂城古镇,乌鲁木齐周边,afternoon,772.8,2565.0,Q4V2_R045;Q4V2_R046,0.3013,0.0,green
2,P002,达坂城古镇,乌鲁木齐周边,evening,113.344,741.0,Q4V2_R045;Q4V2_R046,0.153,0.0,green
2,P002,达坂城古镇,乌鲁木齐周边,morning,401.856,2394.0,Q4V2_R045;Q4V2_R046,0.1679,0.0,green
2,P035,江布拉克草原,乌鲁木齐周边,afternoon,949.8,5130.0,Q4V2_R006;Q4V2_R043;Q4V2_R048,0.1851,0.0,green
2,P035,江布拉克草原,乌鲁木齐周边,evening,139.304,1482.0,Q4V2_R006;Q4V2_R043;Q4V2_R048,0.094,0.0,green
2,P035,江布拉克草原,乌鲁木齐周边,morning,493.896,4788.0,Q4V2_R006;Q4V2_R043;Q4V2_R048,0.1032,0.0,green
2,P036,北庭故城遗址,乌鲁木齐周边,afternoon,259.5,2565.0,Q4V2_R005,0.1012,0.0,green
2,P036,北庭故城遗址,乌鲁木齐周边,evening,38.06,741.0,Q4V2_R005,0.0514,0.0,green
2,P036,北庭故城遗址,乌鲁木齐周边,morning,134.94,2394.0,Q4V2_R005,0.0564,0.0,green
2,P009,那拉提草原,伊犁,afternoon,302.146,5130.0,Q4V2_R008;Q4V2_R011,0.0589,0.0,green
2,P009,那拉提草原,伊犁,evening,85.2207,1482.0,Q4V2_R008;Q4V2_R011,0.0575,0.0,green
2,P009,那拉提草原,伊犁,morning,581.05,4788.0,Q4V2_R008;Q4V2_R011,0.1214,0.0,green
2,P027,帕米尔高原白沙湖,南疆,afternoon,135.46,1282.5,Q4V2_R024;Q4V2_R063,0.1056,0.0,green
