day_index,hub_name,resource_type,resource_demand_units,resource_capacity_units,contributing_routes,resource_capacity_note,utilization,shortage_units,resource_status,scenic_peak_load,scenic_overload_persons
1,达坂城镇,coach_bus,30.6535,141.9111,Q4V2_R015;Q4V2_R018,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.216,0.0,green,,
1,达坂城镇,licensed_guide,41.6012,199.5625,Q4V2_R015;Q4V2_R018,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.2085,0.0,green,,
1,天池风景区,coach_bus,86.9342,423.4444,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.2053,0.0,green,,
1,达坂城镇,scenic_shuttle_or_parking,25.8852,127.72,Q4V2_R015;Q4V2_R018,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.2027,0.0,green,,
1,天池风景区,licensed_guide,117.9821,595.4688,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.1981,0.0,green,,
1,天池风景区,scenic_shuttle_or_parking,73.4111,381.1,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.1926,0.0,green,,
1,巴音布鲁克,coach_bus,25.4846,240.3333,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.106,0.0,green,,
1,巴音布鲁克,licensed_guide,34.5863,337.9688,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.1023,0.0,green,,
1,巴音布鲁克,scenic_shuttle_or_parking,21.5204,216.3,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0995,0.0,green,,
1,塔什库尔干县(帕米尔高原),coach_bus,11.4254,224.3111,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0509,0.0,green,,
1,塔什库尔干县(帕米尔高原),licensed_guide,15.506,315.4375,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0492,0.0,green,,
